cif,size,sgnum,assessed_100,actual_100,assessed_010,actual_010,assessed_001,actual_001,assessed_110,actual_110,assessed_101,actual_101,assessed_011,actual_011,mean_rmse
2234270,250,14,18.4066,18.4025,10.0008,10.0984,5.0277,4.9551,8.7497,8.853,4.6969,4.7847,4.3244,4.2773,0.0768
2234270,100,14,18.4048,18.4025,9.9948,10.0984,5.0114,4.9551,8.744,8.853,4.6828,4.7847,4.3106,4.2773,0.0788
2234270,macro,14,18.3879,18.4025,9.9911,10.0984,5.0411,4.9551,8.7401,8.853,4.7109,4.7847,4.3341,4.2773,0.0822
2234270,50,14,18.5792,18.4025,10.1427,10.0984,5.0601,4.9551,8.8507,8.853,4.7288,4.7847,4.3611,4.2773,0.0952
7221751,100,4,13.1871,13.2925,7.9016,7.8579,6.0063,5.7834,6.6242,6.5725,5.3093,5.3032,4.6847,4.6578,0.105
7221751,macro,4,13.1912,13.2925,7.9346,7.8579,5.9953,5.7834,6.6433,6.5725,5.2998,5.3032,4.6827,4.6578,0.1054
7223939,50,19,12.0967,12.318,6.0538,6.031,5.8214,5.779,5.3316,5.4166,5.1927,5.2318,4.0856,4.1726,0.1062
4507007,100,14,22.3627,22.51,7.2443,7.083,6.2366,6.1223,6.8388,6.7565,5.8469,5.9077,4.4714,4.5208,0.1108
7223939,macro,19,12.1582,12.318,5.936,6.031,5.7656,5.779,5.2894,5.4166,5.1622,5.2318,4.0384,4.1726,0.1109
7221751,50,4,13.184,13.2925,7.9488,7.8579,6.0032,5.7834,6.6447,6.5725,5.3072,5.3032,4.687,4.6578,0.1114
7223939,100,19,12.1448,12.318,5.9356,6.031,5.7835,5.779,5.2867,5.4166,5.1746,5.2318,4.0481,4.1726,0.1116
2215984,250,2,9.9253,10.0125,9.3284,9.3809,8.5666,8.4546,5.8299,5.7982,5.6747,5.8853,5.4904,5.5746,0.1121
7221751,250,4,13.1617,13.2925,7.9111,7.8579,6.0124,5.7834,6.6295,6.5725,5.3099,5.3032,4.6901,4.6578,0.1131
2300572,250,19,18.3208,18.4027,8.9712,9.0419,6.1815,5.9641,7.9623,8.1153,5.7127,5.6736,4.9163,4.9786,0.121
7223939,250,19,12.1819,12.318,5.8924,6.031,5.7423,5.779,5.2649,5.4166,5.1459,5.2318,4.0237,4.1726,0.1236
7153260,macro,19,17.39,17.319,9.5853,9.5712,5.205,4.9234,8.3321,8.3771,4.8142,4.7358,4.4157,4.3781,0.1253
1504266,50,4,12.2414,12.4311,11.2824,11.2481,5.9547,6.0204,7.2984,7.0805,5.3829,5.4184,5.2274,5.3079,0.1269
2101150,50,14,17.2107,17.1964,7.8346,7.937,6.4507,6.3016,6.9953,7.2064,5.9449,5.8645,4.8203,4.9352,0.1273
2215984,100,2,9.8903,10.0125,9.266,9.3809,8.4939,8.4546,5.8208,5.7982,5.6515,5.8853,5.4617,5.5746,0.1275
1513077,macro,4,11.4969,11.4219,10.1131,10.1331,8.2749,8.3796,7.5125,7.5801,6.739,6.505,6.3057,6.4576,0.1287
2222220,100,2,9.8569,9.5931,7.9789,7.8337,7.4586,7.5422,5.3951,5.4041,5.287,5.2879,4.8312,4.8751,0.1289
1520244,50,2,15.0522,15.1742,8.5716,8.5439,6.0225,6.0265,7.2097,7.3804,5.4332,5.5484,4.7758,4.5712,0.129
2215984,macro,2,9.9052,10.0125,9.3074,9.3809,8.5215,8.4546,5.7803,5.7982,5.6346,5.8853,5.4505,5.5746,0.1291
2229083,50,2,13.2736,13.3665,6.9765,6.9244,6.7842,6.9189,6.0715,5.9928,5.9362,5.9997,4.6979,4.4499,0.1299
2222220,250,2,9.8617,9.5931,7.9799,7.8337,7.4608,7.5422,5.3922,5.4041,5.2845,5.2879,4.8266,4.8751,0.1308
4022307,100,4,17.0191,16.9582,7.6104,7.7322,6.6403,6.724,6.8365,6.9796,6.0604,6.2506,4.9176,5.0739,0.1333
2300572,100,19,18.3142,18.4027,8.9511,9.0419,6.2045,5.9641,7.9464,8.1153,5.7307,5.6736,4.9237,4.9786,0.1346
4030669,100,19,17.1106,17.0246,7.1994,7.3529,6.7876,6.6807,6.5572,6.7502,6.2158,6.219,4.7738,4.9446,0.1347
1542705,100,4,14.2002,14.1844,9.0321,9.19,6.1194,6.1859,7.3667,7.4456,5.5045,5.6702,4.9179,5.1317,0.1348
7153260,250,19,17.3999,17.319,9.5387,9.5712,5.2165,4.9234,8.2923,8.3771,4.8209,4.7358,4.4192,4.3781,0.1352
2012222,50,14,23.18,23.411,7.5909,7.5557,6.0332,5.8258,7.0883,7.1905,5.6758,5.6533,4.5496,4.5931,0.1357
