cif,size,sgnum,assessed_100,actual_100,assessed_010,actual_010,assessed_001,actual_001,assessed_110,actual_110,assessed_101,actual_101,assessed_011,actual_011,mean_rmse
1511966,250,2,10.586,10.6523,8.2721,8.2248,7.1239,7.1916,6.2671,6.232,5.5997,5.5671,5.0019,5.0869,0.0588
2103496,50,4,12.8948,12.8119,8.1113,8.0543,5.9647,5.8794,6.6733,6.5883,5.2845,5.3436,4.6385,4.7488,0.0819
1511966,100,2,10.6427,10.6523,8.3535,8.2248,7.0785,7.1916,6.3496,6.232,5.6162,5.5671,5.0418,5.0869,0.0892
2103894,100,2,12.6298,12.5245,8.7875,8.7428,5.3087,5.1567,7.1084,7.2146,4.7748,4.7919,4.3906,4.4545,0.0929
2216557,100,2,11.652,11.7953,9.7248,9.7766,7.6894,7.6765,7.2599,7.1633,6.2537,6.3098,5.7705,5.6308,0.0961
2103894,50,2,12.6487,12.5245,8.8248,8.7428,5.2975,5.1567,7.1276,7.2146,4.7647,4.7919,4.3829,4.4545,0.0961
2103496,100,4,12.9139,12.8119,8.1616,8.0543,5.9918,5.8794,6.7091,6.5883,5.2978,5.3436,4.659,4.7488,0.0994
2007443,macro,19,20.5585,20.548,7.4468,7.231,5.8846,5.838,6.8034,6.821,5.5486,5.6157,4.4499,4.5424,0.1018
2103894,250,2,12.6578,12.5245,8.7489,8.7428,5.3128,5.1567,7.0913,7.2146,4.7759,4.7919,4.3854,4.4545,0.102
1511966,macro,2,10.5191,10.6523,8.2108,8.2248,7.0578,7.1916,6.1979,6.232,5.5285,5.5671,4.9287,5.0869,0.1029
1501963,50,1,9.6458,9.4648,8.6027,8.6087,8.0016,8.0963,5.904,5.9451,5.683,5.589,5.4002,5.5211,0.1056
4076329,100,2,10.6578,10.7247,8.6508,8.7948,7.8676,7.7878,6.0852,5.9011,5.6358,5.6735,5.1148,5.0992,0.1058
7118347,macro,4,13.4973,13.3108,9.1325,9.2125,7.319,7.1694,7.4688,7.4117,6.3293,6.312,5.6679,5.658,0.1059
2103496,macro,4,12.976,12.8119,8.1048,8.0543,5.9666,5.8794,6.7086,6.5883,5.2846,5.3436,4.6369,4.7488,0.1061
4076329,250,2,10.6289,10.7247,8.6633,8.7948,7.883,7.7878,6.0791,5.9011,5.6346,5.6735,5.1236,5.0992,0.1075
2103496,250,4,12.9866,12.8119,8.1056,8.0543,5.9632,5.8794,6.7106,6.5883,5.2847,5.3436,4.6354,4.7488,0.1091
2006979,50,2,11.9163,11.7398,8.25,8.1839,6.1161,6.2292,6.6268,6.6336,5.3438,5.3229,4.7771,4.9285,0.1093
1511966,50,2,10.5108,10.6523,8.3214,8.2248,7.0304,7.1916,6.2656,6.232,5.5334,5.5671,4.9645,5.0869,0.11
2103894,macro,2,12.623,12.5245,8.7485,8.7428,5.3646,5.1567,7.075,7.2146,4.8107,4.7919,4.4097,4.4545,0.1117
2222838,macro,4,11.211,11.4033,8.2349,8.2288,7.2449,7.239,6.6228,6.4523,6.0533,6.1115,5.5093,5.4352,0.1118
4026456,50,2,8.9898,8.9087,8.4199,8.3092,8.0768,8.2515,5.3721,5.459,5.1349,5.0968,4.9586,4.8271,0.1123
4076329,macro,2,10.5938,10.7247,8.6554,8.7948,7.8811,7.7878,6.0686,5.9011,5.6176,5.6735,5.1105,5.0992,0.113
2216557,250,2,11.6023,11.7953,9.6759,9.7766,7.7296,7.6765,7.2209,7.1633,6.2635,6.3098,5.7786,5.6308,0.1137
4026456,250,2,8.98,8.9087,8.4143,8.3092,8.0739,8.2515,5.3155,5.459,5.0898,5.0968,4.9296,4.8271,0.1146
4116145,50,14,10.0226,9.8438,8.8226,8.7417,5.1703,5.0681,6.1996,6.2174,4.4424,4.506,4.2177,4.3845,0.1163
2222838,250,4,11.1939,11.4033,8.2444,8.2288,7.2394,7.239,6.624,6.4523,6.0461,6.1115,5.501,5.4352,0.117
2007443,250,19,20.6113,20.548,7.4833,7.231,5.9432,5.838,6.8309,6.821,5.5958,5.6157,4.4863,4.5424,0.1172
4026456,100,2,8.9302,8.9087,8.3969,8.3092,8.0321,8.2515,5.3245,5.459,5.0794,5.0968,4.9244,4.8271,0.1184
2222838,100,4,11.1993,11.4033,8.271,8.2288,7.2696,7.239,6.6367,6.4523,6.0676,6.1115,5.5237,5.4352,0.1212
4116145,250,14,10.0331,9.8438,8.8441,8.7417,5.2196,5.0681,6.1903,6.2174,4.4791,4.506,4.2496,4.3845,0.1217
4116145,100,14,10.0213,9.8438,8.8627,8.7417,5.2247,5.0681,6.2034,6.2174,4.4712,4.506,4.2491,4.3845,0.1228
4026456,macro,2,9.017,8.9087,8.4311,8.3092,8.0606,8.2515,5.3191,5.459,5.0749,5.0968,4.9129,4.8271,0.1228
2103304,50,4,17.6296,17.6142,6.4664,6.293,5.3905,5.3102,5.9978,5.9261,5.0395,4.997,3.8393,4.0584,0.1236
2103304,100,4,17.4726,17.6142,6.3763,6.293,5.4064,5.3102,5.9198,5.9261,5.0594,4.997,3.828,4.0584,0.1247
4076977,100,2,10.8568,10.8678,8.805,8.7458,7.3461,7.6378,6.4605,6.4103,5.7908,5.7118,5.2589,5.2803,0.1278
4116145,macro,14,10.0644,9.8438,8.8138,8.7417,5.2184,5.0681,6.1952,6.2174,4.4743,4.506,4.2412,4.3845,0.1281
7219103,50,19,8.4142,8.6154,8.0183,7.9039,6.797,6.6768,5.6864,5.8242,5.1858,5.2775,5.0199,5.1005,0.1303
2216557,macro,2,11.5875,11.7953,9.5845,9.7766,7.7396,7.6765,7.1742,7.1633,6.2549,6.3098,5.7582,5.6308,0.1313
1501963,100,1,9.6216,9.4648,8.6011,8.6087,7.9283,8.0963,5.8523,5.9451,5.6066,5.589,5.3113,5.5211,0.1328
