cif,size,sgnum,assessed_100,actual_100,assessed_010,actual_010,assessed_001,actual_001,assessed_110,actual_110,assessed_101,actual_101,assessed_011,actual_011,mean_rmse
7111863,macro,4,14.0887,14.0177,9.1795,9.188,6.2602,6.1752,7.637,7.6844,5.6172,5.6077,5.1251,5.1252,0.0494
7111863,250,4,14.1204,14.0177,9.1829,9.188,6.2361,6.1752,7.6366,7.6844,5.5959,5.6077,5.1095,5.1252,0.0531
7111863,100,4,14.1326,14.0177,9.2064,9.188,6.214,6.1752,7.6511,7.6844,5.5788,5.6077,5.1041,5.1252,0.0539
4103595,50,4,14.2119,14.2849,8.7027,8.6854,6.3001,6.3688,7.409,7.4213,5.6678,5.7255,5.068,5.136,0.0555
4103595,100,4,14.2296,14.2849,8.7442,8.6854,6.2957,6.3688,7.4324,7.4213,5.6601,5.7255,5.0706,5.136,0.0585
7111863,50,4,14.14,14.0177,9.2114,9.188,6.2511,6.1752,7.6623,7.6844,5.6157,5.6077,5.1316,5.1252,0.0604
4333818,50,14,17.8415,17.8,11.8934,11.9156,7.0156,7.1181,9.828,9.9018,6.5484,6.6092,5.8997,5.8494,0.0638
4341313,250,62,13.0032,13.0806,11.9628,11.8901,9.3441,9.4327,8.7518,8.7984,7.5845,7.6509,7.2999,7.3897,0.075
1529875,macro,18,20.4628,20.5957,12.3618,12.4023,6.8151,6.8018,10.5383,10.6247,6.5078,6.4587,5.8893,5.9638,0.0763
4103595,250,4,14.2463,14.2849,8.7307,8.6854,6.2438,6.3688,7.4262,7.4213,5.6213,5.7255,5.0397,5.136,0.081
4031864,100,19,14.8929,14.979,10.2904,10.326,7.124,7.0792,8.4262,8.5016,6.3391,6.4004,5.6966,5.8388,0.082
2238828,50,2,12.9807,12.9962,12.0284,11.9686,6.54,6.665,8.3483,8.2977,5.8675,5.926,5.6964,5.5533,0.0875
1505621,macro,5,13.1569,13.0015,10.3783,10.3549,6.4958,6.462,7.8931,7.7861,5.7759,5.7867,5.3882,5.4821,0.0878
4333818,macro,14,17.7519,17.8,12.0886,11.9156,7.0458,7.1181,9.8858,9.9018,6.5766,6.6092,5.9513,5.8494,0.0905
4333818,250,14,17.7864,17.8,12.0979,11.9156,7.0435,7.1181,9.8969,9.9018,6.5789,6.6092,5.953,5.8494,0.0919
2200511,50,19,15.7273,15.6331,10.5783,10.6393,7.4264,7.2643,8.7209,8.7956,6.5863,6.5878,5.9188,5.9993,0.0921
2238828,250,2,12.9885,12.9962,11.9444,11.9686,6.5263,6.665,8.406,8.2977,5.8565,5.926,5.6738,5.5533,0.0922
2221362,100,14,17.9902,18.014,15.7748,15.9591,4.7566,4.8456,12.0067,11.9455,4.6054,4.6792,4.495,4.469,0.0934
4023195,250,4,12.3821,12.5732,11.3462,11.3616,8.2118,8.1662,8.3135,8.2386,6.8737,6.8485,6.5452,6.6311,0.0935
4341313,50,62,12.8573,13.0806,11.902,11.8901,9.4312,9.4327,8.747,8.7984,7.656,7.6509,7.3819,7.3897,0.0937
4023195,100,4,12.3968,12.5732,11.3442,11.3616,8.2583,8.1662,8.3163,8.2386,6.9064,6.8485,6.5719,6.6311,0.0938
4329294,100,114,17.0932,16.9298,16.9522,16.9298,8.4356,8.2882,11.9989,11.9712,7.4413,7.444,7.5019,7.444,0.094
1529875,250,18,20.4333,20.5957,12.3514,12.4023,6.8676,6.8018,10.5146,10.6247,6.5328,6.4587,5.9141,5.9638,0.0943
2007443,macro,19,20.6275,20.548,7.2277,7.231,5.8773,5.838,6.8901,6.821,5.6222,5.6157,4.3399,4.5424,0.0946
4103595,macro,4,14.2422,14.2849,8.72,8.6854,6.2194,6.3688,7.4104,7.4213,5.6015,5.7255,5.019,5.136,0.0953
2201643,50,19,20.3056,20.24,12.5217,12.641,5.9701,6.051,10.6436,10.7217,5.9196,5.7975,5.3641,5.4579,0.0956
1529875,100,18,20.4312,20.5957,12.3404,12.4023,6.8578,6.8018,10.5046,10.6247,6.5255,6.4587,5.9084,5.9638,0.0966
2238828,macro,2,12.9281,12.9962,11.9424,11.9686,6.5232,6.665,8.3997,8.2977,5.8528,5.926,5.6766,5.5533,0.097
4031864,50,19,14.9697,14.979,10.3101,10.326,7.0238,7.0792,8.4495,8.5016,6.271,6.4004,5.6482,5.8388,0.0993
1505621,50,5,13.0938,13.0015,10.2071,10.3549,6.6059,6.462,7.8231,7.7861,5.8443,5.7867,5.4205,5.4821,0.0996
4506735,250,14,16.5348,16.4506,9.9252,9.9629,8.719,8.7236,8.3843,8.5106,7.5292,7.707,6.5012,6.5632,0.0999
1508740,macro,19,18.4838,18.59,13.2908,13.121,5.7046,5.7141,10.7997,10.7198,5.4884,5.4619,5.1246,5.2389,0.1003
4333818,100,14,17.7657,17.8,12.1209,11.9156,7.0469,7.1181,9.901,9.9018,6.5799,6.6092,5.9595,5.8494,0.1012
4329294,250,114,17.0766,16.9298,17.0063,16.9298,8.4581,8.2882,11.9816,11.9712,7.4637,7.444,7.5224,7.444,0.1024
2011630,250,4,12.1229,12.3006,6.9994,6.9065,4.5534,4.5376,6.0282,6.0222,4.1619,4.2482,3.6602,3.7923,0.1044
4023195,macro,4,12.3534,12.5732,11.3371,11.3616,8.2529,8.1662,8.2945,8.2386,6.9025,6.8485,6.5725,6.6311,0.1048
4031864,250,19,14.7812,14.979,10.3172,10.326,7.1676,7.0792,8.4191,8.5016,6.3617,6.4004,5.7306,5.8388,0.1057
1508740,250,19,18.4286,18.59,13.2847,13.121,5.7215,5.7141,10.7807,10.7198,5.5087,5.4619,5.1453,5.2389,0.1061
7150031,250,4,11.6602,11.4514,7.5722,7.5367,6.1414,6.0,6.2747,6.2306,5.3353,5.3147,4.6555,4.6941,0.107
1541945,250,14,12.17,11.978,8.6436,8.5547,5.0025,4.898,6.6184,6.6814,4.479,4.5336,4.1697,4.2506,0.1074
7150031,100,4,11.6424,11.4514,7.581,7.5367,6.1692,6.0,6.2744,6.2306,5.3459,5.3147,4.6692,4.6941,0.1085
7108094,50,14,22.862,22.9734,7.641,7.64,5.3797,5.4155,7.2727,7.2496,5.2417,5.1114,4.2189,4.4181,0.1087
4032027,50,2,10.6541,10.5792,10.1982,10.1576,7.3936,7.5387,6.2386,6.0653,5.6529,5.5509,5.6396,5.5894,0.109
7150031,macro,4,11.6323,11.4514,7.5352,7.5367,6.1906,6.0,6.2432,6.2306,5.3502,5.3147,4.6578,4.6941,0.1094
7150031,50,4,11.649,11.4514,7.6388,7.5367,6.1369,6.0,6.302,6.2306,5.3274,5.3147,4.6723,4.6941,0.111
2201643,100,19,20.3441,20.24,12.5035,12.641,5.9261,6.051,10.6359,10.7217,5.8913,5.7975,5.3442,5.4579,0.1114
4029171,250,4,13.5447,13.7672,7.9194,7.8597,5.8358,5.8065,6.8295,6.8257,5.2631,5.1415,4.5948,4.6703,0.1114
2011630,100,4,12.1054,12.3006,7.0213,6.9065,4.5467,4.5376,6.0323,6.0222,4.1607,4.2482,3.6621,3.7923,0.1126
4112459,100,19,13.4534,13.343,12.064,11.9789,10.9452,10.8741,8.9067,8.9137,8.2914,8.4294,7.8708,8.0515,0.1127
4506735,macro,14,16.5942,16.4506,9.8813,9.9629,8.7224,8.7236,8.3734,8.5106,7.544,7.707,6.4957,6.5632,0.1135
2007443,250,19,20.5517,20.548,7.3031,7.231,5.8054,5.838,6.943,6.821,5.5577,5.6157,4.3128,4.5424,0.1135
1504911,100,19,14.5996,14.6209,10.6507,10.5735,8.114,8.018,8.4097,8.5678,6.8981,7.0303,6.2456,6.3888,0.1145
2221362,50,14,18.1139,18.014,15.884,15.9591,4.6812,4.8456,12.1068,11.9455,4.5786,4.6792,4.4852,4.469,0.1148
2238828,100,2,13.1008,12.9962,12.0746,11.9686,6.52,6.665,8.4246,8.2977,5.8686,5.926,5.6825,5.5533,0.115
4329294,macro,114,17.0881,16.9298,17.0747,16.9298,8.4426,8.2882,12.0402,11.9712,7.4494,7.444,7.5148,7.444,0.1153
2201643,250,19,20.3582,20.24,12.4918,12.641,5.935,6.051,10.6288,10.7217,5.9021,5.7975,5.3504,5.4579,0.116
2009114,50,19,24.1384,24.151,7.8447,7.869,6.2989,6.2452,7.6269,7.4819,6.2158,6.0463,4.7261,4.8918,0.1161
2232351,50,61,21.7134,21.5565,13.3881,13.4075,10.6479,10.428,11.316,11.385,9.3637,9.3873,8.1843,8.2314,0.1161
1506636,macro,19,14.9252,15.0145,12.3574,12.2906,6.1871,6.3088,9.504,9.5105,5.652,5.8162,5.4489,5.6126,0.1162
4341313,macro,62,12.888,13.0806,11.9554,11.8901,9.2724,9.4327,8.7599,8.7984,7.5789,7.6509,7.3018,7.3897,0.1165
2009304,100,4,12.724,12.5967,8.2501,8.0849,5.6191,5.5001,6.8342,6.804,5.0218,4.8749,4.4997,4.5476,0.1172
2221362,250,14,17.9509,18.014,15.6877,15.9591,4.8182,4.8456,11.9203,11.9455,4.6399,4.6792,4.5159,4.469,0.1175
4023195,50,4,12.317,12.5732,11.3611,11.3616,8.2516,8.1662,8.3044,8.2386,6.9143,6.8485,6.5837,6.6311,0.1182
2009114,macro,19,24.0429,24.151,7.9186,7.869,6.3174,6.2452,7.635,7.4819,6.1908,6.0463,4.7495,4.8918,0.1183
4506735,100,14,16.2929,16.4506,10.0973,9.9629,8.7453,8.7236,8.4502,8.5106,7.5151,7.707,6.5412,6.5632,0.1186
2000440,100,15,19.2203,19.222,9.6124,9.5309,4.8702,5.0758,8.4562,8.5389,4.8001,4.9075,4.2296,4.3614,0.1188
2009304,macro,4,12.7913,12.5967,8.1894,8.0849,5.6014,5.5001,6.8244,6.804,5.0203,4.8749,4.4824,4.5476,0.1189
7108094,100,14,22.9298,22.9734,7.7269,7.64,5.3126,5.4155,7.3345,7.2496,5.187,5.1114,4.1887,4.4181,0.1194
4103231,250,34,14.2779,14.0942,12.6999,12.8741,11.4512,11.3501,9.5074,9.5055,8.7672,8.84,8.4335,8.5138,0.1198
2000440,50,15,19.2087,19.222,9.5389,9.5309,4.8793,5.0758,8.3978,8.5389,4.809,4.9075,4.2275,4.3614,0.12
2200511,100,19,15.5707,15.6331,10.6266,10.6393,7.5318,7.2643,8.7015,8.7956,6.634,6.5878,5.9718,5.9993,0.1207
2007443,100,19,20.6953,20.548,7.2651,7.231,5.8452,5.838,6.936,6.821,5.5909,5.6157,4.3138,4.5424,0.1218
2009304,250,4,12.7435,12.5967,8.2526,8.0849,5.6195,5.5001,6.8431,6.804,5.0208,4.8749,4.4992,4.5476,0.1218
1508740,100,19,18.3969,18.59,13.3094,13.121,5.758,5.7141,10.7806,10.7198,5.5324,5.4619,5.1622,5.2389,0.122
1529875,50,18,20.3848,20.5957,12.3166,12.4023,6.891,6.8018,10.4833,10.6247,6.5464,6.4587,5.9215,5.9638,0.122
2010626,50,4,18.6389,18.6624,7.396,7.2899,6.1534,5.9664,6.86,6.7902,5.7529,5.683,4.5091,4.3263,0.1225
4027612,macro,14,17.0108,17.0791,9.9536,10.0365,7.8298,7.8418,8.5357,8.653,6.9581,6.9966,5.928,6.1793,0.1225
2201643,macro,19,20.3696,20.24,12.4741,12.641,5.9462,6.051,10.6182,10.7217,5.9121,5.7975,5.3547,5.4579,0.1226
4029171,100,4,13.5138,13.7672,7.8954,7.8597,5.8527,5.8065,6.8042,6.8257,5.2725,5.1415,4.5998,4.6703,0.1226
4103231,macro,34,14.2555,14.0942,12.672,12.8741,11.4061,11.3501,9.4991,9.5055,8.74,8.84,8.4082,8.5138,0.1233
4112459,50,19,13.3475,13.343,12.0987,11.9789,11.1328,10.8741,8.8683,8.9137,8.4014,8.4294,7.9654,8.0515,0.1236
1504512,macro,19,19.3412,19.332,12.2021,12.3831,6.3693,6.2765,10.2877,10.4273,6.1341,5.9697,5.5309,5.5984,0.1242
2203530,50,33,13.9792,13.8776,8.5306,8.4,6.596,6.3855,7.2709,7.1861,5.7521,5.8009,4.9724,5.0835,0.1249
