cif,size,sgnum,assessed_100,actual_100,assessed_010,actual_010,assessed_001,actual_001,assessed_110,actual_110,assessed_101,actual_101,assessed_011,actual_011,mean_rmse
4123709,250,19,22.3101,22.359,8.9239,9.0181,7.5699,7.46,8.4508,8.3635,7.039,7.0765,5.7453,5.7482,0.0735
4023433,100,19,28.1459,28.193,10.4595,10.3788,5.7201,5.6815,9.6671,9.7398,5.7073,5.5695,5.0176,4.9837,0.0771
2241812,100,33,29.1727,29.1778,9.7215,9.6655,6.1681,6.2286,9.2943,9.1752,6.138,6.0914,5.1233,5.2356,0.0772
4123709,100,19,22.2811,22.359,8.9403,9.0181,7.5748,7.46,8.4601,8.3635,7.0353,7.0765,5.7504,5.7482,0.0778
4023433,250,19,28.1427,28.193,10.4327,10.3788,5.7286,5.6815,9.6606,9.7398,5.7199,5.5695,5.0209,4.9837,0.0795
2011870,50,60,18.9866,18.9551,11.5609,11.4905,8.2413,8.1745,9.8032,9.8261,7.3779,7.5062,6.5575,6.6609,0.0797
4123709,macro,19,22.3136,22.359,8.8901,9.0181,7.5968,7.46,8.4236,8.3635,7.0642,7.0765,5.7465,5.7482,0.0826
2241812,macro,33,29.1882,29.1778,9.7462,9.6655,6.1239,6.2286,9.2803,9.1752,6.1009,6.0914,5.0984,5.2356,0.089
4023433,50,19,28.1122,28.193,10.4646,10.3788,5.7407,5.6815,9.6677,9.7398,5.7266,5.5695,5.031,4.9837,0.0908
2241812,50,33,29.1782,29.1778,9.5233,9.6655,6.2768,6.2286,9.1784,9.1752,6.2445,6.0914,5.1703,5.2356,0.0915
2215118,macro,61,19.7699,19.79,14.0755,13.9688,8.1267,8.1164,11.2214,11.4122,7.4655,7.5094,7.0045,7.0178,0.0917
4304816,250,2,11.4408,11.6019,10.7634,10.8999,9.9405,9.9275,6.7227,6.7404,6.435,6.5162,6.1457,6.1706,0.0934
4028757,50,19,24.4193,24.4965,9.9294,9.8605,7.1335,7.0511,9.0004,9.1473,6.7055,6.776,5.6438,5.7355,0.0935
4029732,50,19,17.8189,17.9267,13.5581,13.434,6.8527,6.8215,10.5978,10.7504,6.4372,6.3755,6.0139,6.0823,0.0998
2215118,250,61,19.7492,19.79,14.139,13.9688,8.1134,8.1164,11.2479,11.4122,7.4531,7.5094,7.0045,7.0178,0.1008
4030990,50,19,27.48,27.664,9.3271,9.2972,5.7267,5.7807,8.9312,8.8128,5.7563,5.6585,4.8874,4.9092,0.1014
4312085,macro,2,14.2908,14.0583,9.745,9.6785,8.5155,8.5037,7.948,7.9081,7.1733,7.1865,6.2873,6.3413,0.1027
4312085,250,2,14.2914,14.0583,9.6794,9.6785,8.4879,8.5037,7.9282,7.9081,7.1699,7.1865,6.2476,6.3413,0.1033
2013644,macro,61,15.5728,15.5636,9.3174,9.1185,8.0135,7.9344,7.9785,7.8676,7.0255,7.0688,5.9102,5.9856,0.1047
4025681,100,62,12.7084,12.759,10.2166,10.142,6.6221,6.664,7.7748,7.9393,6.0166,5.9068,5.4192,5.5693,0.1092
4030990,macro,19,27.5503,27.664,9.4177,9.2972,5.6438,5.7807,8.9606,8.8128,5.6682,5.6585,4.8444,4.9092,0.1098
4312085,100,2,14.2535,14.0583,9.5786,9.6785,8.4694,8.5037,7.8678,7.9081,7.1467,7.1865,6.1953,6.3413,0.1109
4323298,250,60,14.7724,14.693,14.196,14.24,13.4762,13.413,9.9809,10.2256,9.955,9.9061,9.7738,9.7637,0.1115
4123709,50,19,22.331,22.359,8.8071,9.0181,7.6307,7.46,8.3597,8.3635,7.0932,7.0765,5.7302,5.7482,0.1118
