name,sgnum,numpeaks
7226496,2,47
7215594,9,43
2101963,14,21
7154039,14,12
1506234,29,8
7151587,2,26
2015669,14,22
1517440,14,22
2101110,1,18
7204880,1,19
1508877,2,28
4105182,4,44
4026498,4,51
1503651,2,21
5000009,4,18
4029009,2,34
4505800,2,51
4020750,4,32
2015322,14,39
4105893,4,45
4508471,2,37
2213865,2,45
4507988,14,10
4121363,4,22
4028575,14,50
2014887,4,28
2234078,7,23
4065225,2,50
7203293,14,33
1514326,2,28
4022345,2,29
2001769,14,14
4029462,11,25
7154629,2,40
7118889,14,31
2213624,4,19
4332494,14,17
7153629,19,67
7052848,4,13
7102158,7,37
2239150,19,35
7220119,2,24
7151577,4,25
4025788,2,60
4025298,2,26
2226415,2,15
7151387,29,17
4109988,7,12
4102039,2,93
7221610,4,20
2224930,14,28
4116372,2,12
1513565,2,43
1544050,14,26
4030997,4,13
7219318,144,12
2205500,11,40
4026881,4,76
7150501,2,119
1501913,2,36
7203265,18,17
7225353,2,10
2003370,11,18
2101905,19,49
7226238,14,33
2101089,4,14
2208414,2,40
7150034,19,53
7151815,2,29
7153982,2,49
4021814,19,41
2218183,4,32
7217020,2,44
7103002,14,31
7154011,2,58
4080575,62,30
7208905,2,12
4077995,2,33
4024209,2,81
7105955,7,27
2012267,14,36
2213958,9,21
4020302,1,40
7155026,1,32
7212126,14,25
7218766,2,39
7153969,2,36
7202554,2,29
4504253,2,7
1513458,4,43
7154416,29,20
4023177,14,32
7053128,14,17
2310123,14,16
2207725,4,14
2211363,4,16
4025361,2,39
4504831,1,16
7150037,2,51
4115279,2,71
4031812,4,26
2013814,2,54
2018584,14,20
2011698,2,47
4029070,19,29
7109667,14,32
7117482,2,23
4000134,2,40
4081667,2,49
7053222,2,43
4107817,2,21
4021848,2,23
2241084,14,17
4509412,14,20
2101976,2,30
7054721,4,13
4080105,4,69
4113216,2,28
4021846,2,21
7053095,14,64
7212665,2,28
4021663,4,45
2203126,4,31
4508439,14,39
2011375,62,9
4026754,2,53
1542951,2,37
7102897,2,25
7214360,14,23
2006354,14,54
4069142,14,39
1519905,2,41
2102798,2,55
2227480,2,28
1520153,14,32
7154724,4,49
2010885,4,35
1507463,14,9
7111201,2,10
7218413,2,19
2005171,4,11
7212663,2,22
8102103,1,5
4077966,14,43
1518057,14,20
7220022,14,66
1542891,2,44
