cif,formula
1000006,H100 C88 N8 Cl4 O32
1000508,H208 C128 O40
1004000,H30 W6 C6 S8 N6
1004002,P12 H192 W12 C228 S16
1004031,Zn8 P16 H144 C40 N16 O72
1007188,Te4 H56 C8 N16 O32
1007203,P12 H88 C12 N36 O44
1007221,P4 H112 C16 N48 Cl4 O24
1007224,Li2 Cu1 P6 H20 C2 N6 O22
1008177,Cu8 H32 C16 S16 N16 Cl8
1008775,H8 C2 N4 O2
1011016,Na4 H4 C4 O12
1100118,Al4 H72 C20 N8 O8 F20
1100119,Al4 H48 C12 N8 O2 F20
1100123,H62 C42 I2 O8
1100139,H60 Au2 C54 Br8 N24 O18
1100143,Co4 H64 C20 S4 N44
1100144,Co2 H48 C36 N20 O24
1100147,Cu4 H36 C40 N8 Cl4 O10
1100149,Co2 H76 C56 N8 O24
1100150,Cu2 H39 C45 N8 Cl2 O13
1100154,Cu2 H14 C4 N8 Cl6 O2
1100157,Ni4 H136 C148 N24 O24
1100159,Cu4 H56 C36 N8 O24
1100164,Ni4 H88 C56 N16 O24
1100165,Zn4 H72 C40 N32 O32
1100166,Ag4 P8 H128 C179.28 O8
1100169,H96 Pd16 C160 N128 O64
1100178,H48 C50 N4 O12
1100192,P4 H72 Rh2 C96 Cl6 O2
1100197,Sb8 H72 C24 Br4 N4
1100200,Li4 Cu4 Si8 H148 C56 O6
1100202,H24 C28 S2 Br2 Cl2 O2
1100204,P8 H136 C48 N8 Cl8
1100207,P2 H34 C36 I2 N2 Cl4
1100216,Ni16 P16 H144 C64 S16 N16 O56 F60
1100220,H96 C88 N8 Cl8 O16
1100222,H48 C36 N4 Cl4 O8
1100226,H54 C32 N2 O6
1100227,H92 C76 N4 O16
1100230,Ni4 H80 C80 Br8 N16
1100235,H88 C56 O8
1100244,H46 C38 N2 O2
1100249,H116 C84 N4 O12
1100262,Sr2 P4 H128 C104 I4 N4 O8
1100263,Si4 B4 H240 C112 N4 O12
1100264,H52 C52 S4 N4 O4
1100265,H124 C116 S8 Br4 N8 O20
1100266,H64 C58 S4 N4 O4
1100272,Li4 H284 C152 N4 O12
1100276,H46 C34 Br2 O4
1100279,Li8 H216 C152 S8 N16 O16
1100280,H18 C26 N2 O10
1100282,H128 C124 O28
1100283,H232 C184 N32 Cl8 O24
1100285,H144 C96 S8 O32
1100292,H56 C44 O20
1100293,H38 W2 C42 N2 O12
1100295,Cr4 P4 H76 C84 O20
1100298,Cr4 H52 C68 N4 O24
1100304,Cr8 H136 C136 N8 O48
1100306,H26 W2 C32 N2 O12
1100310,H56 C44 Se2 O4
1100311,Li2 H74 C52 N4 O6
1100314,H112 C80 N8 O16
1100319,Sn4 H64 C48 Cl16 O8
1100322,Cr4 P4 H84 C76 O24
1100333,Li4 H140 C100 S4 O12
1100334,H88 C48 O8
1100335,H84 C48 Br4 O8
1100336,Cr2 H24 C34 N4 O8
1100347,H24 W2 C40 O10
1100350,Na4 P4 H176 Os4 C152 N4 Cl12 O36
1100351,Mo4 H56 C60 N8 O16
1100352,H104 C88 N8 O12
1100357,Li4 Si4 H204 C112 N12 O8
1100358,Li8 Si16 H296 C120 N16
1100362,P4 H96 Os4 C104 N4 Cl8 O8
1100363,P2 H104 Os2 C76 N2 Cl4 O10
1100365,H232 C112 N48 O32
1100377,Si2 H64 C50 O8
1100378,H120 C104 I8 O24
1100379,H224 C208 N16 O16
1100382,Li4 H164 C112 N8
1100390,P4 H112 C128 N8 Cl12 O16
1100391,Ti8 P8 H152 C104 N8 Cl16
1100406,Si8 P8 H144 C48 I8 N8 Cl8
1100408,P8 H76 C24 I8 N4 Cl16
1100412,In4 Sn12 H144 C48 N4
1100416,H104 C68 N8 O4
1100422,As4 H100 C56 N4 Cl4
1100424,Cr2 B2 H66 C60 O6
1100442,H84 C48 N4 O12
1100460,H54 C60 S6 N6 O12
1100463,H40 C32 I4 N12
1100469,H128 C128 I8 N24
1100471,Si4 B4 P4 H96 C36 N4 F12
1100493,Sn4 As4 P8 H84 C32 N12 Cl20
1100495,P2 H80 C112 I8 Br2
1100499,P2 H40 C56 I8 Cl2
1100517,H104 C88 N8 O8
1100529,H42 C38 N2 O6
1100531,H76 C64 N4 O8
1100536,H76 C72 N4 O12
1100552,H116 C108 N4 O8
1100556,Re2 Si8 P2 H102 C36 N2 O8
1100561,P2 H50 C60 I2 Cl6
1100590,H72 C60 S2 O2
1100592,V2 B2 H72 C60
1100593,V4 B2 H66 C66
1100608,B12 P12 H196 C72 I8 N12
1100609,B12 P12 H216 C88 I12 N20
1100623,As4 P4 H120 C96 Br4 N4
1100626,Co16 P16 H156 C56 Br16 N20
1100633,H68 C40 N4 O8
1100639,P4 H60 C72 N4 Cl4
1100640,P8 H120 C96 N4 Cl4
1100649,H112 C120 N24 F24
1100650,H32 C32 N8 O8
1100653,H108 C88 O18
1100655,H136 C112 N40
1100657,H88 C80 S8 N8 O8
1100663,Zn2 H48 C32 S2 N6 Cl2
1100675,H80 C104 N16 O40
1100678,Cu8 H84 C80 S8 N20 Cl16
1100679,H32 C28 S2 N4
1100680,H112 C120 N16 O16
1100685,Sn2 H22 C14 N2 O18
1100686,H16 C12 N16
1100693,Cu4 H12 C28 N12 F24
1100698,Cu4 H32 C28 S2 I4 N4
1100699,Cu4 H48 C48 S4 N8 Cl8 O4
1100703,Ag8 H72 C72 S8 N24 O26
1100738,Mn2 B2 H122 C116 N10 O4
1100743,Ni2 P2 H56 C64 S8 N8 O10
1100745,Ni2 P2 H48 C64 S8 N8 O4
1100748,Co4 H48 C54 N12 Cl2 O27.08
1100752,Cu40 H80 C80 S16 N16 Cl40
1100754,H44 Au4 C72 N8
1100759,Cu6 H20 C8 N8 O10
1100761,H80 Ru16 C80 Se24
1100763,Te12 P4 H84 Ru4 C94 Cl4
1100765,Zn4 B4 H100 C80 S8 N24
1100768,Zn8 B8 H184 C152 S16 N48
1100781,Ag4 H156 C112 N8 Cl8
1100783,Ag4 H152 C112 N12 Cl8 O8
1100786,B2 H34 Ru2 C42 S2 O4 F8
1100788,H120 Ir8 C88 N16
1100793,Fe8 Si16 B32 H240 C88 N8
1100794,Fe4 Si16 B32 H176 C64
1100795,Co8 Si8 B16 H190 C74 N12 Cl10
1100796,Co4 Si8 B16 H152 C56 N8
1100800,Ti2 Si4 H108 C72 N8
1100801,P8 H62 Ru2 C34 N12 Cl2 O4 F24
1100803,H92 Pd4 C52 N8 Cl4 O4
1100805,Si4 P2 H40 W2 C26 N2 O10
1100807,P4 H112 Os4 C72 N12 Cl32
1100808,P4 H124 Os4 C70 N12 Cl12 O2
1100811,Ti2 Si2 H66 C42 N6 O2
1100812,Co4 H184 C136 N12
1100823,Y4 Si8 H204 C124
1100824,Y4 Al4 Si8 H232 C128
1100828,Zr4 H56 C56
1100833,P2 H56 Au2 C72 Cl4
1100837,Co4 H76 C64 S16 O12
1100839,Co2 H54 C70 S8 O4
1100852,B24 H132 Ru8 C80 Cl12
1100860,H104 Au4 C84 N8 Cl4
1100862,H80 Au4 C44 N8 Cl4
1100866,H44 Au4 C44 N12 Cl4
1100873,P2 H84 Ru10 Pt2 C76 O26
1100877,P2 H46 Os2 C49 Cl2
1100880,H56 Ru4 C76 O12
1100890,Fe2 H40.0 C52
1100891,Fe4 H80 C112
1100893,B4 P8 H40 Pd4 C136 N4 F96
1100905,V2 Si2 P2 H92 C48 N4
1100906,Ni4 H120 C168 S16 N16
1100907,H180 C204 N12 O48
1100909,H28 C30 N4 O6
1100914,H100 C72 N4 O12
1100936,Si2 P2 H32 C14 N2
1100937,K2 P2 H62 C32 N2 O12
1100944,H152 Ru8 C216 N48 Cl8 O60
1100945,H76 Ru4 C109 S4 N20 Cl8 O17
1100966,Cu8 H92 W4 C62 S16 N16
1100967,Cu24 P8 H64 W8 C223.84 S32 N24
1100974,Zn4 H40 C32 N16 Cl16
1100985,H32 C80 O8.0
1100988,Co2 H40 C28 N16 Cl8 O2
1100992,H48 C20 N8 O4
1101001,H160 C72 N16 O8
1101008,H224 C104 N16 O8
1101009,H112 C52 N8 O4
1101052,Ni18 H60 C80 N80 O84
1101056,H52 C52 N4 O12
1101059,Ag2 H12 C10 N8 Cl2 O12
1101074,Cu8 H88 C136 N56 O56
1101075,Cu4 H48 C44 N32 Cl4 O31
1101078,H52 C24 Br1.34 N10.66 O17.98
1101089,V4 H48 C48 N32 Cl8 O4
1101091,Cr4 H88 C72 O12
1101100,H96 C60 O8
1101102,Zn2 H26 C16 N10 Cl4 O8
1101107,Cu4 H88 C64 N32 Cl8 O60
1101112,H120 Ru4 C84 N8 Cl8
1101115,Ag2 H16 C14 S2 N8 O12
1101128,Hg4 H48 C40 N20 Cl4 O20
1101129,H56 C48 N8 O12
1101131,H60 C34 N6 O18 F2
1101132,H168 C72 O72
1101134,K3.5 H108 Pd12 C60 S12 N12 Cl3.5 O33.5
1101135,H96 Pd4 Pt4 C88 N56 O36
1101140,H200 Pd8 C120 Cl8
1101141,Cu16 H80 C80 N48 O88
1101158,Fe4 B32 P8 H156 C160 N4 O12
1101176,V8 P8 H24 C12 O44
1101177,V8 P8 H40 C16 O48
1101180,V8.0 P16 H160 C72 O56
1101181,V16 P16 H96 C32 N8 O94
1101183,V16 P16 H112 C40 N8 O82
1101184,V16 P16 H120 C44 N8 O76
1101189,V16 P16 H112 C40 N8.0 O76
1101191,V16 P16 H156 C56 N8 O72
1101193,V4 P8 H44 C16 N4 O28
1101194,V4 P8 H60 C24 N4 O28
1101195,V4 P8 H76 C32 N4 O28
1200001,H136 C112 S8 N8 O32
1200021,H48 C64 O28
1500002,Cd4 H88 C56 N32 Cl16 O8
1500003,Cd4 H84 C56 S4 N36 O36
1500007,Cd8 Co16 H256 C64 Br32 N64 Cl32
1500009,Co2 H52 C16 N14 O16
1500018,Cu8 H108 C100 N80 Cl12 O68
1500026,Cd1 H20 C10 N10 O10
1500028,Cu4 H116 C72 N52 O16
1500036,Cd1 H30 C22 N12 O8
1500037,Mn1 H24 C12 N10 O10
1500040,Ag8 H80 C56 N16 Cl8
1501472,Hg4 H140 C180 N16 Cl4 O28
1501548,H40 C24 N6 O4
1501549,H132 C78 N18 O12
1501550,H48 C32 N12 O4
1501557,Ag8 H88 C76 S8 O16
1501565,H112 C128
1501566,H56 C72 O16
1501596,P2 H60 C48 N6 O20
1501600,H208 C160 S8 N60 O30
1501618,H120 C184 N32 O48
1501628,In2 H24 C48 O16
1501634,H104 C104 S4 N8 O8
1501636,H32 C58 Br32
1501638,H72.0 C104 Br8
1501641,Ag4 H48 C20 S8 N4 O12
1501651,Fe4 B40 H80 C60 S8 O4
1501652,Al4 H108 C76 N12 O28 F4
1501657,H80 C64 S4 N16 O8
1501663,H56 C64 S4 N16 O4
1501667,H42 C48 N8 Cl2 O12
1501671,H44 C28 S12 N12 O16
1501679,P16 H208 C128 S16 O48
1501683,H40 C56 O8
1501700,Sb2 H90 C74 N4 O6
1501707,H104 C108 S4 N4
1501724,H40 C36 N4 Cl4 O4
1501728,H128 C80 N4 Cl4 O4
1501746,H160 C36 S12 N60 O48 F4
1501751,H18 C22 N6
1501752,H52 C48 N12
1501759,H128 C80 N48 O32
1501760,H56 C72 N16 O16
1501764,H120 C80 N16 O16
1501772,Li4 H200 C128 O16
1501774,H50 C58 S4 N16 F8
1501775,H106 C72 N2 O16
1501780,Zr4 H160 C144 N8 Cl8 O16
1501786,Ti4 H104 C76 N8 Cl8
