cif,a,b,c,alpha,beta,gamma
1000006,10.93,12.7162,15.7085,90.0,90.0,90.0
1000508,8.4303,13.7805,29.081,90.0,90.0,90.0
1004000,9.0847,9.1602,9.566,103.732,116.622,106.265
1004002,14.6107,16.6282,21.2344,96.3869,93.7166,92.1225
1004031,13.917,9.091,20.489,90.0,102.36,90.0
1007188,14.815,8.882,10.02,90.0,129.15,90.0
1007203,10.706,15.183,15.10344,90.0,127.16185,90.0
1007221,9.961,13.906,14.038,90.0,90.0,90.0
1007224,7.503,9.211,9.455,84.72,109.56,108.17
1008177,6.923,11.416,15.576,90.0,90.0,90.0
1008775,5.576,5.576,4.692,90.0,90.0,90.0
1011016,3.53,9.7,8.11113,90.0,112.43183,90.0
1100118,8.493,8.932,14.97454,90.0,117.10612,90.0
1100119,7.6996,8.838,12.197,105.87,97.74,106.317
1100123,6.15,12.32,14.549,91.7,90.51,93.21
1100139,11.3215,11.908,16.4596,71.538,71.675,78.681
1100143,12.195,9.0317,12.6017,90.0,113.419,90.0
1100144,12.9061,8.1677,13.2319,90.0,109.305,90.0
1100147,9.2608,10.3755,12.9865,85.76,75.915,73.0
1100149,9.556,13.408,14.48,108.097,94.267,110.194
1100150,8.8328,10.5365,14.4604,96.512,104.786,92.26
1100154,6.1505,7.6367,9.7197,95.0132,99.9045,110.2812
1100157,9.2191,29.972,14.999,90.0,123.36518,90.0
1100159,5.422,13.436,17.0,90.0,92.324,90.0
1100164,19.392,8.477,11.412,90.0,111.795,90.0
1100165,7.543,13.1384,17.2599,90.0,90.0,90.0
1100169,12.864,14.634,30.703,90.0,90.0,90.0
1100178,7.842,12.127,12.973,65.76,86.43,81.31
1100192,10.966,13.868,14.306,79.09,74.83,74.74
1100197,7.163,17.466,12.35449,90.0,121.44136,90.0
1100200,10.8446,10.9136,18.9558,87.682,81.637,82.658
1100202,9.1121,9.7596,9.9764,84.681,117.107,116.603
1100204,11.488,12.736,13.02,90.0,90.0,90.0
1100207,8.253,10.864,12.412,114.12,104.5,93.21
1100216,15.6666,14.7993,21.48176,90.0,118.62885,90.0
1100220,7.2693,11.0478,28.024,90.0,90.0,90.0
1100222,9.9246,6.8908,16.49139,90.0,121.09469,90.0
1100226,9.3539,9.4338,10.2406,91.805,104.889,109.986
1100227,11.818,9.9465,16.3081,90.0,112.41637,90.0
1100230,9.438,14.13,15.929,90.0,90.0,90.0
1100235,6.4587,10.608,18.5975,90.0,90.0,90.0
1100244,11.657,5.3217,13.483,90.0,107.81,90.0
1100249,7.2624,8.541,30.4681,90.0,90.0,90.0
1100262,10.4289,13.3744,20.9511,90.13,96.31,111.985
1100263,14.684,9.355,24.26281,90.0,114.66702,90.0
1100264,5.753,8.297,25.098,90.0,90.0,90.0
1100265,5.4024,16.4819,33.13,90.0,91.4,90.0
1100266,7.9433,7.26,21.921,90.0,92.11,90.0
1100272,9.1764,13.1644,30.036,90.0,95.112,90.0
1100276,7.378,9.74,11.406,80.83,81.26,81.88
1100279,10.017,17.051,23.759,90.0,90.0,90.0
1100280,7.578,7.829,10.151,77.18,87.42,83.75
