name,sgnum,numpeaks
1000006_0050,19,91
1000508_0050,56,13
1004000_0050,2,20
1004002_0050,2,19
1004031_0050,15,28
1007188_0050,15,49
1007203_0050,14,52
1007221_0050,19,71
1007224_0050,2,51
1008177_0050,61,43
1008775_0050,113,10
1011016_0050,14,18
1100118_0050,14,38
1100119_0050,2,54
1100123_0050,2,79
1100139_0050,2,89
1100143_0050,14,63
1100144_0050,14,22
1100147_0050,2,24
1100149_0050,2,40
1100150_0050,2,27
1100154_0050,2,42
1100157_0050,14,38
1100159_0050,14,21
1100164_0050,15,33
1100165_0050,61,21
1100169_0050,20,24
1100178_0050,2,38
1100192_0050,2,52
1100197_0050,14,76
1100200_0050,2,55
1100202_0050,1,75
1100204_0050,61,19
1100207_0050,2,88
1100216_0050,14,36
1100220_0050,45,27
1100222_0050,14,45
1100226_0050,2,31
1100227_0050,14,23
1100230_0050,33,23
1100235_0050,33,4
1100244_0050,4,29
1100249_0050,19,42
1100262_0050,2,135
1100263_0050,14,23
1100264_0050,19,46
1100265_0050,4,76
1100266_0050,4,61
1100272_0050,14,40
1100276_0050,2,52
1100279_0050,33,20
1100280_0050,2,32
1100282_0050,19,39
1100283_0050,61,21
1100285_0050,61,6
1100292_0050,19,23
1100293_0050,2,96
1100295_0050,14,8
1100298_0050,14,34
1100304_0050,15,51
1100306_0050,2,83
1100310_0050,4,41
1100311_0050,4,33
1100314_0050,19,24
1100319_0050,19,85
1100322_0050,14,53
1100333_0050,14,28
1100334_0050,14,19
1100335_0050,14,31
1100336_0050,2,51
1100347_0050,2,100
1100350_0050,14,29
1100351_0050,14,54
1100352_0050,19,36
1100357_0050,19,42
1100358_0050,15,29
1100362_0050,14,101
1100363_0050,2,124
1100365_0050,61,14
1100377_0050,4,28
1100378_0050,61,60
1100379_0050,19,48
1100382_0050,19,18
1100390_0050,14,98
1100391_0050,61,42
1100406_0050,45,38
1100408_0050,14,80
1100412_0050,198,25
1100416_0050,19,18
1100422_0050,14,53
1100424_0050,2,71
1100442_0050,19,22
1100460_0050,169,14
1100463_0050,62,21
1100469_0050,14,108
1100471_0050,14,23
1100493_0050,14,59
1100495_0050,85,62
1100499_0050,113,36
1100517_0050,19,37
1100529_0050,4,21
1100531_0050,14,29
1100536_0050,19,33
1100552_0050,19,40
1100556_0050,2,28
1100561_0050,2,107
1100590_0050,2,46
1100592_0050,2,29
1100593_0050,4,30
1100608_0050,14,88
1100609_0050,19,97
1100623_0050,14,91
1100626_0050,14,69
1100633_0050,18,6
1100639_0050,14,43
1100640_0050,14,73
1100649_0050,61,47
1100650_0050,19,20
1100653_0050,2,37
1100655_0050,56,7
1100657_0050,15,14
1100663_0050,31,35
1100675_0050,15,48
1100678_0050,14,99
1100679_0050,2,32
1100680_0050,33,26
1100685_0050,2,71
1100686_0050,14,23
1100693_0050,2,60
1100698_0050,2,74
1100699_0050,14,72
1100703_0050,2,108
1100738_0050,2,69
1100743_0050,2,24
1100745_0050,2,64
1100752_0050,88,22
1100754_0050,18,18
1100759_0050,2,46
1100761_0050,15,47
1100763_0050,2,29
1100765_0050,19,57
1100768_0050,15,46
1100781_0050,2,52
1100783_0050,4,92
1100786_0050,2,59
1100788_0050,62,14
1100793_0050,14,45
1100794_0050,19,31
1100795_0050,2,44
1100796_0050,14,26
1100800_0050,2,53
1100801_0050,2,52
