name,sgnum
1000006_0100,19
1000508_0100,56
1004000_0100,2
1004002_0100,2
1004031_0100,15
1007188_0100,15
1007203_0100,14
1007221_0100,19
1007224_0100,2
1008177_0100,61
1008775_0100,113
1011016_0100,14
1100118_0100,14
1100119_0100,2
1100123_0100,2
1100139_0100,2
1100143_0100,14
1100144_0100,14
1100147_0100,2
1100149_0100,2
1100150_0100,2
1100154_0100,2
1100157_0100,14
1100159_0100,14
1100164_0100,15
1100165_0100,61
1100169_0100,20
1100178_0100,2
1100192_0100,2
1100197_0100,14
1100200_0100,2
1100202_0100,1
1100204_0100,61
1100207_0100,2
1100216_0100,14
1100220_0100,45
1100222_0100,14
1100226_0100,2
1100227_0100,14
1100230_0100,33
1100235_0100,33
1100244_0100,4
1100249_0100,19
1100262_0100,2
1100263_0100,14
1100264_0100,19
1100265_0100,4
1100266_0100,4
1100272_0100,14
1100276_0100,2
1100279_0100,33
1100280_0100,2
1100282_0100,19
1100283_0100,61
1100285_0100,61
1100292_0100,19
1100293_0100,2
1100295_0100,14
1100298_0100,14
1100304_0100,15
1100306_0100,2
1100310_0100,4
1100311_0100,4
1100314_0100,19
1100319_0100,19
1100322_0100,14
1100333_0100,14
1100334_0100,14
1100335_0100,14
1100336_0100,2
1100347_0100,2
1100350_0100,14
1100351_0100,14
1100352_0100,19
1100357_0100,19
1100358_0100,15
1100362_0100,14
1100363_0100,2
1100365_0100,61
1100377_0100,4
1100378_0100,61
1100379_0100,19
1100382_0100,19
1100390_0100,14
1100391_0100,61
1100406_0100,45
1100408_0100,14
1100412_0100,198
1100416_0100,19
1100422_0100,14
1100424_0100,2
1100442_0100,19
1100460_0100,169
1100463_0100,62
1100469_0100,14
1100471_0100,14
1100493_0100,14
1100495_0100,85
1100499_0100,113
1100517_0100,19
1100529_0100,4
1100531_0100,14
1100536_0100,19
1100552_0100,19
1100556_0100,2
1100561_0100,2
1100590_0100,2
1100592_0100,2
1100593_0100,4
1100608_0100,14
1100609_0100,19
1100623_0100,14
1100626_0100,14
1100633_0100,18
1100639_0100,14
1100640_0100,14
1100649_0100,61
1100650_0100,19
1100653_0100,2
1100655_0100,56
1100657_0100,15
1100663_0100,31
1100675_0100,15
1100678_0100,14
1100679_0100,2
1100680_0100,33
1100685_0100,2
1100686_0100,14
1100693_0100,2
1100698_0100,2
1100699_0100,14
1100703_0100,2
1100738_0100,2
1100743_0100,2
1100745_0100,2
1100752_0100,88
1100754_0100,18
1100759_0100,2
1100761_0100,15
1100763_0100,2
1100765_0100,19
1100768_0100,15
1100781_0100,2
1100783_0100,4
1100786_0100,2
1100788_0100,62
1100793_0100,14
1100794_0100,19
1100795_0100,2
1100796_0100,14
1100800_0100,2
1100801_0100,2
1100803_0100,29
1100805_0100,2
1100807_0100,14
1100808_0100,14
1100811_0100,2
1100812_0100,14
1100823_0100,19
1100824_0100,14
1100828_0100,9
1100833_0100,2
1100837_0100,14
1100839_0100,2
1100852_0100,14
1100860_0100,14
1100862_0100,96
1100866_0100,2
1100873_0100,2
1100877_0100,2
1100880_0100,2
1100890_0100,2
1100891_0100,14
1100893_0100,14
1100905_0100,2
1100906_0100,14
1100907_0100,19
1100909_0100,2
1100914_0100,19
1100936_0100,11
1100937_0100,31
1100944_0100,61
1100945_0100,2
1100966_0100,14
1100974_0100,15
1100985_0100,62
1100988_0100,2
1100992_0100,14
1101001_0100,15
1101008_0100,15
1101009_0100,14
1101052_0100,2
1101056_0100,19
1101059_0100,2
1101074_0100,14
1101075_0100,2
1101089_0100,14
1101091_0100,19
1101100_0100,5
1101102_0100,2
1101107_0100,19
1101112_0100,19
1101115_0100,2
1101128_0100,14
1101129_0100,19
1101131_0100,2
1101132_0100,18
1101135_0100,14
1101140_0100,92
1101141_0100,19
1101158_0100,14
1101176_0100,71
1101177_0100,63
1101180_0100,87
1101181_0100,15
1101183_0100,15
1101184_0100,15
1101189_0100,15
1101191_0100,15
1101193_0100,14
1101194_0100,14
1101195_0100,14
1200001_0100,61
1200021_0100,14
1500002_0100,15
1500003_0100,14
1500007_0100,61
1500009_0100,14
1500018_0100,14
1500026_0100,2
1500028_0100,14
1500036_0100,2
1500037_0100,2
1500040_0100,61
1501472_0100,14
1501548_0100,2
1501549_0100,2
1501550_0100,2
1501557_0100,15
1501565_0100,19
1501566_0100,96
1501596_0100,147
1501600_0100,13
1501618_0100,15
1501628_0100,131
1501634_0100,14
1501636_0100,86
1501638_0100,14
1501641_0100,14
1501651_0100,14
1501652_0100,14
1501657_0100,14
1501663_0100,14
1501667_0100,2
1501671_0100,2
1501679_0100,2
1501683_0100,19
1501700_0100,2
1501707_0100,2
1501724_0100,62
1501728_0100,14
1501746_0100,33
1501751_0100,2
1501752_0100,14
1501759_0100,61
1501760_0100,14
1501764_0100,62
1501772_0100,15
1501774_0100,2
1501775_0100,2
1501780_0100,15
1501786_0100,14
1501793_0100,19
1501796_0100,4
1501798_0100,4
1501800_0100,4
1501805_0100,21
1501806_0100,4
1501807_0100,4
1501811_0100,19
1501819_0100,19
1501821_0100,19
1501825_0100,19
1501831_0100,1
1501832_0100,18
1501833_0100,19
1501838_0100,19
1501842_0100,14
1501843_0100,5
1501845_0100,4
1501846_0100,19
1501848_0100,19
1501850_0100,61
1501852_0100,4
1501853_0100,2
1501856_0100,4
1501857_0100,19
1501858_0100,19
1501862_0100,61
1501867_0100,4
1501868_0100,4
1501869_0100,4
1501870_0100,19
1501871_0100,4
1501876_0100,19
1501880_0100,2
1501887_0100,2
1501891_0100,14
1501894_0100,19
1501905_0100,14
1501906_0100,14
1501910_0100,19
1501911_0100,5
1501915_0100,33
1501916_0100,14
1501928_0100,2
1501929_0100,144
1501930_0100,19
1501935_0100,19
1501938_0100,33
1501942_0100,4
1501943_0100,173
1501945_0100,14
1501947_0100,2
1501948_0100,2
1501952_0100,14
1501955_0100,2
1501961_0100,2
1501962_0100,14
1501964_0100,19
1501972_0100,2
1501973_0100,4
1501976_0100,14
1501979_0100,5
1501984_0100,14
1501985_0100,4
1501988_0100,19
1501990_0100,4
1502000_0100,2
1502016_0100,15
1502018_0100,2
1502019_0100,14
1502032_0100,2
1502033_0100,14
1502034_0100,14
1502036_0100,15
1502049_0100,19
1502056_0100,14
1502059_0100,2
1502062_0100,2
1502064_0100,2
1502066_0100,14
1502067_0100,19
1502073_0100,14
1502076_0100,2
1502078_0100,14
1502082_0100,4
1502085_0100,15
1502091_0100,19
1502092_0100,19
1502095_0100,19
1502096_0100,2
1502097_0100,14
1502108_0100,19
1502109_0100,14
1502111_0100,19
1502119_0100,61
1502122_0100,2
1502123_0100,2
1502124_0100,14
1502127_0100,14
1502133_0100,19
1502142_0100,14
1502144_0100,9
1502149_0100,33
1502151_0100,14
1502154_0100,19
1502161_0100,14
1502165_0100,15
1502169_0100,2
1502171_0100,19
1502172_0100,14
1502174_0100,14
1502199_0100,19
1502201_0100,4
1502203_0100,2
1502208_0100,19
1502213_0100,19
1502218_0100,14
1502220_0100,2
1502221_0100,14
1502222_0100,14
1502223_0100,19
1502233_0100,14
1502236_0100,56
1502240_0100,33
1502244_0100,2
1502245_0100,2
1502247_0100,9
1502252_0100,2
1502253_0100,14
1502264_0100,14
1502272_0100,4
1502273_0100,19
1502274_0100,2
1502277_0100,19
1502279_0100,19
1502280_0100,2
1502281_0100,2
1502284_0100,1
1502286_0100,14
1502289_0100,7
1502292_0100,14
1502294_0100,19
1502298_0100,4
1502299_0100,19
1502302_0100,2
1502307_0100,14
1502311_0100,14
1502317_0100,4
1502318_0100,14
1502320_0100,11
1502325_0100,19
1502334_0100,19
1502344_0100,19
1502345_0100,5
1502346_0100,92
1502350_0100,19
1502351_0100,2
1502353_0100,2
1502357_0100,2
1502363_0100,19
1502377_0100,14
1502379_0100,61
1502383_0100,19
1502387_0100,61
1502390_0100,14
1502392_0100,4
1502393_0100,19
1502396_0100,14
1502398_0100,14
1502399_0100,19
1502401_0100,1
1502425_0100,19
1502427_0100,2
1502428_0100,33
1502436_0100,4
1502437_0100,14
1502441_0100,19
1502447_0100,1
1502453_0100,19
1502464_0100,2
1502465_0100,14
1502468_0100,2
1502471_0100,4
1502477_0100,2
1502478_0100,4
1502484_0100,2
1502485_0100,2
1502487_0100,14
1502491_0100,19
1502497_0100,14
1502498_0100,7
1502500_0100,19
1502508_0100,19
1502509_0100,14
1502514_0100,19
1502517_0100,2
1502520_0100,4
1502525_0100,4
1502526_0100,19
1502528_0100,19
1502533_0100,19
1502534_0100,14
1502538_0100,19
1502545_0100,19
1502554_0100,2
1502561_0100,61
1502567_0100,14
1502569_0100,4
1502572_0100,4
1502577_0100,19
1502578_0100,4
1502584_0100,14
1502585_0100,2
1502592_0100,9
1502594_0100,19
1502600_0100,14
1502603_0100,14
1502611_0100,2
1502613_0100,61
1502615_0100,4
1502620_0100,19
1502622_0100,19
1502631_0100,2
1502632_0100,14
1502637_0100,2
1502641_0100,2
1502645_0100,14
1502648_0100,15
1502652_0100,2
1502658_0100,19
1502659_0100,2
1502667_0100,14
1502668_0100,14
1502674_0100,2
1502677_0100,19
1502678_0100,2
1502693_0100,14
1502697_0100,45
1502700_0100,19
1502705_0100,14
1502712_0100,15
1502723_0100,2
1502730_0100,56
1502731_0100,14
1502732_0100,14
1502735_0100,14
1502739_0100,14
1502741_0100,2
1502749_0100,14
1502752_0100,15
1502764_0100,2
1502765_0100,15
1502770_0100,33
1502771_0100,2
1502773_0100,19
1502775_0100,2
1502779_0100,14
1502782_0100,2
1502790_0100,2
1502792_0100,19
1502794_0100,19
1502795_0100,4
1502796_0100,4
1502798_0100,18
1502799_0100,19
1502806_0100,19
1502808_0100,4
1502811_0100,19
1502812_0100,19
1502814_0100,19
1502818_0100,15
1502820_0100,14
1502827_0100,19
1502829_0100,19
1502835_0100,19
1502836_0100,19
1502838_0100,19
1502839_0100,19
1502844_0100,14
1502845_0100,56
1502848_0100,62
1502853_0100,19
1502858_0100,9
1502860_0100,4
1502865_0100,4
1502873_0100,14
1502874_0100,2
1502882_0100,2
1502889_0100,14
1502909_0100,19
1502912_0100,14
1502914_0100,19
1502922_0100,14
1502923_0100,2
1502926_0100,19
1502927_0100,14
1502937_0100,19
1502938_0100,9
1502942_0100,4
1502944_0100,19
1502945_0100,61
1502946_0100,2
1502948_0100,14
1502951_0100,2
1502954_0100,14
1502963_0100,86
1502964_0100,2
1502965_0100,2
1502967_0100,9
1502973_0100,14
1502978_0100,152
1502980_0100,14
1502990_0100,61
1502993_0100,4
1502995_0100,19
1502999_0100,14
1503009_0100,19
1503010_0100,14
1503015_0100,2
1503016_0100,2
1503020_0100,19
1503021_0100,19
1503022_0100,9
1503025_0100,33
1503035_0100,29
1503057_0100,14
1503060_0100,4
1503061_0100,14
1503066_0100,2
1503067_0100,19
1503069_0100,2
1503071_0100,2
1503074_0100,2
1503076_0100,14
1503077_0100,19
1503078_0100,14
1503079_0100,19
1503080_0100,4
1503083_0100,19
1503084_0100,78
1503086_0100,14
1503090_0100,13
1503091_0100,60
1503092_0100,61
1503095_0100,148
1503096_0100,2
1503102_0100,19
1503107_0100,36
1503110_0100,2
1503116_0100,19
1503118_0100,2
1503124_0100,14
1503128_0100,14
1503131_0100,2
1503137_0100,29
1503142_0100,14
1503151_0100,4
1503153_0100,14
1503154_0100,2
1503160_0100,14
1503161_0100,60
1503162_0100,4
1503169_0100,2
1503170_0100,14
1503171_0100,14
1503172_0100,19
1503173_0100,14
1503175_0100,14
1503178_0100,5
1503179_0100,14
1503184_0100,19
1503188_0100,14
1503189_0100,14
1503193_0100,14
1503194_0100,2
1503196_0100,1
1503197_0100,61
1503198_0100,14
1503202_0100,2
1503203_0100,61
1503207_0100,19
1503213_0100,14
1503217_0100,2
1503222_0100,2
1503227_0100,2
1503229_0100,2
1503232_0100,33
1503240_0100,14
1503241_0100,4
1503242_0100,14
1503251_0100,96
1503253_0100,33
1503254_0100,2
1503260_0100,61
1503264_0100,19
1503266_0100,19
1503269_0100,14
1503270_0100,4
1503273_0100,76
1503286_0100,2
1503290_0100,4
1503295_0100,2
1503296_0100,19
1503298_0100,18
1503299_0100,14
1503303_0100,19
1503306_0100,19
1503311_0100,14
1503319_0100,61
1503323_0100,19
1503327_0100,19
1503328_0100,19
1503329_0100,15
1503334_0100,14
1503335_0100,19
1503338_0100,2
1503344_0100,14
1503350_0100,2
1503351_0100,14
1503362_0100,14
1503368_0100,19
1503374_0100,173
1503376_0100,4
1503377_0100,61
1503381_0100,14
1503385_0100,14
1503388_0100,14
1503401_0100,14
1503402_0100,2
1503408_0100,19
1503409_0100,14
1503410_0100,2
1503413_0100,7
1503415_0100,169
1503416_0100,1
1503418_0100,19
1503421_0100,15
1503425_0100,33
1503430_0100,2
1503434_0100,2
1503438_0100,19
1503439_0100,144
1503442_0100,14
1503460_0100,19
1503463_0100,19
1503464_0100,5
1503466_0100,19
1503483_0100,1
1503490_0100,14
1503492_0100,14
1503494_0100,19
1503505_0100,2
1503510_0100,14
1503516_0100,19
1503517_0100,14
1503518_0100,14
1503519_0100,4
1503520_0100,61
1503525_0100,12
1503527_0100,4
1503528_0100,19
1503529_0100,19
1503531_0100,2
1503533_0100,19
1503534_0100,19
1503537_0100,14
1503540_0100,5
1503541_0100,62
1503542_0100,14
1503543_0100,15
1503544_0100,14
1503551_0100,14
1503553_0100,14
1503554_0100,14
1503558_0100,19
1503561_0100,29
1503562_0100,2
1503566_0100,2
1503569_0100,19
1503574_0100,12
1503578_0100,14
1503580_0100,19
1503585_0100,14
1503595_0100,2
1503600_0100,1
1503605_0100,19
1503609_0100,14
1503613_0100,2
1503617_0100,19
1503620_0100,19
1503623_0100,18
1503636_0100,1
1503637_0100,19
1503647_0100,14
1503649_0100,29
1503650_0100,2
1503653_0100,2
1503656_0100,14
