name,sgnum,numpeaks
4074437,2,92
7226496,2,47
1507720,2,23
7215594,9,43
2101963,14,21
7154039,14,12
1506234,29,8
4027311,2,48
7151587,2,26
2015669,14,22
1100226,2,34
1517440,14,22
2101110,1,18
7204880,1,19
1508877,2,28
4105182,4,44
4026498,4,51
4021728,2,25
1503651,2,21
5000009,4,18
4029009,2,34
4505800,2,51
1504750,4,79
4020750,4,32
2015322,14,39
4105893,4,45
4508471,2,37
2213865,2,45
4507988,14,10
4121363,4,22
4028575,14,50
2014887,4,28
2221663,2,55
2234078,7,23
4065225,2,50
4067260,14,58
4312367,2,34
7203293,14,33
1514326,2,28
4022345,2,29
4503997,2,57
2001769,14,14
4029462,11,25
7154629,2,40
7118889,14,31
2213624,4,19
4332494,14,17
7153629,19,67
7052848,4,13
7102158,7,37
2239150,19,35
7220119,2,24
7151577,4,25
4025788,2,60
4073155,4,44
4025298,2,26
2226415,2,15
7151387,29,17
4109988,7,12
4102039,2,93
7221610,4,20
2224930,14,28
4116372,2,12
1513565,2,43
1544050,14,26
4030997,4,13
7219318,144,12
2205500,11,40
4026881,4,76
7150501,2,119
1501913,2,36
7203265,18,17
7225353,2,10
1100529,4,22
2003370,11,18
2101905,19,49
7226238,14,33
2101089,4,14
2208414,2,40
2015272,14,19
7150034,19,53
4025552,4,22
7151815,2,29
7153982,2,49
4021814,19,41
2218183,4,32
7217020,2,44
2200321,2,29
7103002,14,31
7154011,2,58
4080575,62,30
7208905,2,12
4077995,2,33
4024209,2,81
7105955,7,27
2012267,14,36
2213958,9,21
4020302,1,40
7155026,1,32
7212126,14,25
7218766,2,39
7153969,2,36
7202554,2,29
4504253,2,7
1513458,4,43
7154416,29,20
4023177,14,32
7053128,14,17
2310123,14,16
2207725,4,14
2211363,4,16
4500396,18,12
4073964,2,54
4025361,2,39
2015077,29,9
4504831,1,16
7150037,2,51
4115279,2,71
4031812,4,26
2214759,14,35
2013814,2,54
2018584,14,20
2011698,2,47
4029070,19,29
7109667,14,32
4343945,57,9
7117482,2,23
4000134,2,40
4081667,2,49
7053222,2,43
4107817,2,21
4021848,2,23
2241084,14,17
4512799,2,54
4509412,14,20
1518263,2,44
2101976,2,30
7054721,4,13
4080105,4,69
4113216,2,28
4021846,2,21
7053095,14,64
7212665,2,28
4021663,4,45
2203126,4,31
4508439,14,39
2011375,62,9
4026754,2,53
1542951,2,37
7102897,2,25
7214360,14,23
2006354,14,54
4069142,14,39
1519905,2,41
2102798,2,55
2227480,2,28
1520153,14,32
7154724,4,49
2010885,4,35
1507463,14,9
7111201,2,10
7218413,2,19
2005171,4,11
7212663,2,22
8102103,1,5
4077966,14,43
1518057,14,20
7220022,14,66
1542891,2,44
1513955,2,33
1543389,4,26
1504910,19,51
7117457,2,20
4024226,4,41
2013612,2,14
1508608,2,51
4025175,2,56
7213156,14,35
1511957,4,29
4028375,2,32
1544224,19,22
4001062,2,18
4020174,4,43
2204130,2,42
4023085,4,42
2202678,2,45
1516375,2,43
4026407,4,52
1505114,2,19
2210951,2,44
4020932,14,69
4114247,2,11
4502463,1,44
4020281,2,48
2222226,9,17
2209664,2,47
7150292,2,43
1504948,2,44
7215124,14,18
7001656,14,11
2004094,4,27
2018306,2,43
4067707,2,91
1502975,36,18
7153038,4,71
2226071,14,25
2209780,14,17
7038911,4,40
7154804,2,49
7210752,2,14
4022633,19,74
2211174,13,31
2006135,2,27
7154609,9,18
4072174,19,16
9007519,19,40
1505509,2,53
7203481,2,34
4076911,2,98
4077787,2,64
2007153,14,25
4117594,19,21
2008381,2,36
7118331,2,50
1515617,2,52
2103890,2,11
4505816,2,17
1543862,4,10
2222930,14,32
7206488,14,21
7154331,14,26
1512367,2,67
7154084,29,20
7036058,4,28
4071997,14,27
4020603,2,27
1507617,4,37
4028256,19,20
4075640,2,44
7154922,4,98
4505682,2,77
4020664,2,15
2212074,19,48
1540482,4,19
4325398,4,18
7017744,14,15
4075611,2,61
2005354,29,13
4107219,4,31
1506095,14,7
2203109,14,48
2200227,14,28
4085650,2,58
2019898,2,16
4020276,14,41
2008366,14,26
7154766,2,51
1511805,14,17
4101841,4,26
7208269,2,13
1520159,62,12
1517925,4,37
2221827,14,22
2218833,14,26
