name,sgnum
1503539_macro,4
4030727_macro,2
7217234_macro,14
2009747_macro,19
2006727_macro,36
1502353_macro,2
1542368_macro,2
4027426_macro,14
4030598_macro,14
7214359_macro,14
7150744_macro,4
7203059_macro,4
1542617_macro,5
4512632_macro,33
1519845_macro,4
7152413_macro,1
7151637_macro,14
1518549_macro,2
2201154_macro,14
4020253_macro,4
4510612_macro,14
2009665_macro,2
4030973_macro,14
4024561_macro,2
2102162_macro,20
4060210_macro,2
1502252_macro,2
4023162_macro,14
4078791_macro,4
4510671_macro,19
2008985_macro,4
7150542_macro,2
2228938_macro,2
2233764_macro,14
4027384_macro,2
4022652_macro,4
4510651_macro,2
4020934_macro,14
2231990_macro,4
2230441_macro,2
7152173_macro,2
4063632_macro,14
4025957_macro,2
4111071_macro,114
7100433_macro,2
1534425_macro,4
7226156_macro,2
7152132_macro,4
2217099_macro,2
2219956_macro,2
1544223_macro,113
2008522_macro,14
4031559_macro,2
2215649_macro,2
7151818_macro,2
4068881_macro,4
4505386_macro,14
4024539_macro,14
4500369_macro,2
4116139_macro,61
7154039_macro,14
4031067_macro,4
2105108_macro,19
4081081_macro,2
2213512_macro,2
1508564_macro,4
4083296_macro,2
4115087_macro,2
4501793_macro,4
2012237_macro,2
4509059_macro,2
2012951_macro,14
4030069_macro,14
2218392_macro,14
4324442_macro,2
1508777_macro,14
2223210_macro,9
4339566_macro,26
1511956_macro,4
4025868_macro,1
1506023_macro,2
4023906_macro,4
2235980_macro,2
4511431_macro,4
2217142_macro,14
4026796_macro,2
7150430_macro,14
4509673_macro,2
7153656_macro,14
2217941_macro,29
4029726_macro,7
1508859_macro,2
2219690_macro,14
7226227_macro,4
4000461_macro,20
7039954_macro,2
2004617_macro,4
2232834_macro,4
4022135_macro,2
2205413_macro,2
1542652_macro,2
2010199_macro,2
1504534_macro,2
4028815_macro,2
4065262_macro,2
7220702_macro,2
2000374_macro,4
4071712_macro,2
2000474_macro,19
7218768_macro,2
4062245_macro,2
4023287_macro,2
4065226_macro,14
1520427_macro,2
4001547_macro,2
4078787_macro,2
2215828_macro,2
8102844_macro,14
8102077_macro,4
4023724_macro,14
2206178_macro,14
7208271_macro,2
4302030_macro,63
2223524_macro,14
4026508_macro,19
1507372_macro,4
7213760_macro,2
4103544_macro,2
4508021_macro,14
2103262_macro,18
2208433_macro,14
2015142_macro,2
4113695_macro,2
4073558_macro,2
7152815_macro,2
2000835_macro,14
4024150_macro,4
7212567_macro,4
1520022_macro,19
2005509_macro,14
4085945_macro,2
7206020_macro,14
2013804_macro,7
1507084_macro,1
4500335_macro,33
2237774_macro,4
4021940_macro,2
2214805_macro,2
4076976_macro,2
7153631_macro,2
1517419_macro,4
2233483_macro,2
7219807_macro,14
7150994_macro,2
2205134_macro,4
2222867_macro,14
2224025_macro,19
4020859_macro,14
7154791_macro,4
4113216_macro,2
4021366_macro,2
4025857_macro,19
