name,sgnum
4074437_macro,2
1507720_macro,2
7215594_macro,9
2101963_macro,14
1506234_macro,29
4027311_macro,2
7151587_macro,2
2015669_macro,14
1100226_macro,2
1517440_macro,14
2101110_macro,1
7204880_macro,1
1508877_macro,2
4105182_macro,4
4026498_macro,4
4021728_macro,2
1503651_macro,2
5000009_macro,4
4029009_macro,2
4505800_macro,2
1504750_macro,4
4020750_macro,4
2015322_macro,14
4508471_macro,2
2213865_macro,2
4507988_macro,14
4028575_macro,14
2014887_macro,4
2221663_macro,2
2234078_macro,7
4065225_macro,2
4067260_macro,14
4312367_macro,2
7203293_macro,14
1514326_macro,2
4022345_macro,2
4503997_macro,2
2001769_macro,14
4029462_macro,11
7154629_macro,2
7118889_macro,14
2213624_macro,4
4332494_macro,14
7153629_macro,19
7052848_macro,4
7102158_macro,7
2239150_macro,19
7151577_macro,4
4025788_macro,2
4073155_macro,4
7151387_macro,29
4109988_macro,7
4102039_macro,2
7221610_macro,4
2224930_macro,14
4116372_macro,2
1513565_macro,2
1544050_macro,14
4030997_macro,4
7219318_macro,144
2205500_macro,11
4026881_macro,4
7150501_macro,2
1501913_macro,2
7203265_macro,18
7225353_macro,2
1100529_macro,4
2003370_macro,11
2101905_macro,19
7226238_macro,14
2101089_macro,4
2208414_macro,2
2015272_macro,14
7150034_macro,19
4025552_macro,4
7151815_macro,2
7153982_macro,2
4021814_macro,19
7217020_macro,2
2200321_macro,2
7103002_macro,14
7154011_macro,2
4080575_macro,62
7208905_macro,2
4024209_macro,2
7105955_macro,7
2012267_macro,14
2213958_macro,9
4020302_macro,1
7155026_macro,1
7212126_macro,14
7153969_macro,2
7202554_macro,2
1513458_macro,4
4023177_macro,14
7053128_macro,14
2310123_macro,14
4500396_macro,18
4073964_macro,2
4025361_macro,2
4504831_macro,1
7150037_macro,2
4115279_macro,2
4031812_macro,4
2214759_macro,14
2013814_macro,2
2011698_macro,2
4029070_macro,19
4343945_macro,57
7117482_macro,2
4000134_macro,2
4081667_macro,2
7053222_macro,2
4107817_macro,2
4021848_macro,2
2241084_macro,14
4512799_macro,2
4509412_macro,14
1518263_macro,2
7054721_macro,4
4080105_macro,4
4021846_macro,2
7053095_macro,14
7212665_macro,2
4021663_macro,4
2203126_macro,4
4508439_macro,14
2011375_macro,62
4026754_macro,2
1542951_macro,2
7102897_macro,2
7214360_macro,14
2006354_macro,14
4069142_macro,14
1519905_macro,2
2102798_macro,2
1520153_macro,14
7154724_macro,4
2010885_macro,4
1507463_macro,14
7111201_macro,2
7218413_macro,2
2005171_macro,4
7212663_macro,2
4077966_macro,14
1518057_macro,14
7220022_macro,14
1542891_macro,2
1513955_macro,2
1504910_macro,19
7117457_macro,2
4024226_macro,4
2013612_macro,2
4025175_macro,2
7213156_macro,14
1511957_macro,4
4028375_macro,2
1544224_macro,19
4001062_macro,2
4020174_macro,4
2204130_macro,2
4023085_macro,4
2202678_macro,2
4026407_macro,4
1505114_macro,2
2210951_macro,2
4114247_macro,2
4502463_macro,1
4020281_macro,2
2209664_macro,2
7150292_macro,2
1504948_macro,2
7215124_macro,14
7001656_macro,14
2004094_macro,4
4067707_macro,2
1502975_macro,36
7153038_macro,4
2226071_macro,14
2209780_macro,14
7038911_macro,4
7154804_macro,2
4022633_macro,19
2211174_macro,13
2006135_macro,2
7154609_macro,9
4072174_macro,19
9007519_macro,19
1505509_macro,2
7203481_macro,2
4076911_macro,2
4077787_macro,2
2007153_macro,14
4117594_macro,19
2008381_macro,2
7118331_macro,2
1515617_macro,2
2103890_macro,2
4505816_macro,2
1543862_macro,4
2222930_macro,14
7206488_macro,14
7154331_macro,14
1512367_macro,2
7154084_macro,29
7036058_macro,4
4071997_macro,14
1507617_macro,4
4028256_macro,19
4075640_macro,2
7154922_macro,4
4505682_macro,2
4020664_macro,2
2212074_macro,19
1540482_macro,4
7017744_macro,14
4075611_macro,2
2005354_macro,29
4107219_macro,4
1506095_macro,14
2203109_macro,14
2200227_macro,14
4085650_macro,2
2019898_macro,2
4020276_macro,14
2008366_macro,14
7154766_macro,2
1511805_macro,14
4101841_macro,4
7208269_macro,2
1520159_macro,62
1517925_macro,4
2221827_macro,14
1516081_macro,2
2222407_macro,2
2012991_macro,2
2205224_macro,2
7117624_macro,2
4024035_macro,14
7154938_macro,14
2217771_macro,14
1517801_macro,4
7216545_macro,31
7218782_macro,4
7003676_macro,4
4075456_macro,14
2006823_macro,14
4102673_macro,4
4335263_macro,2
8101221_macro,2
2228025_macro,2
2007015_macro,2
7152830_macro,4
4082698_macro,14
7211302_macro,14
2213149_macro,2
2007914_macro,2
7150365_macro,2
7154908_macro,2
2226811_macro,14
4513000_macro,14
2006748_macro,2
2105586_macro,2
4023913_macro,29
4024218_macro,4
2201928_macro,14
7153163_macro,4
2214780_macro,4
2206112_macro,19
1529280_macro,14
2203540_macro,4
4086042_macro,5
4027840_macro,144
7207490_macro,14
2232576_macro,2
4072693_macro,14
2208349_macro,2
7152987_macro,4
7219929_macro,14
2013641_macro,19
9016039_macro,14
2105105_macro,19
2223455_macro,2
4501921_macro,2
4503650_macro,2
2002075_macro,14
7213502_macro,2
4077149_macro,2
7217714_macro,2
7212709_macro,1
1542293_macro,2
1100661_macro,2
4020047_macro,2
1543147_macro,4
7218991_macro,2
1520185_macro,14
2100914_macro,14
4081444_macro,2
4122617_macro,14
2004882_macro,14
7053273_macro,14
2223716_macro,4
1508793_macro,14
2103891_macro,2
7153254_macro,14
4020820_macro,4
2203943_macro,4
7103365_macro,14
4109025_macro,2
2019482_macro,4
4023570_macro,2
7154377_macro,4
1503261_macro,1
1512377_macro,14
4022041_macro,14
2201329_macro,4
2201974_macro,2
7150130_macro,14
7151179_macro,14
4308614_macro,114
7221735_macro,2
2016306_macro,2
2100385_macro,14
2234992_macro,4
4076603_macro,14
7155270_macro,14
4028709_macro,1
4103805_macro,4
4026401_macro,14
7150089_macro,4
1518301_macro,2
4028758_macro,1
7152227_macro,2
2234403_macro,2
1508311_macro,14
1502101_macro,2
2011802_macro,4
7205148_macro,1
2223751_macro,19
4028530_macro,1
4076329_macro,2
4022177_macro,2
4310088_macro,14
1525589_macro,62
4502295_macro,2
4507995_macro,2
7054439_macro,2
2224982_macro,19
7053274_macro,14
7216972_macro,2
4025693_macro,76
2104411_macro,92
7035975_macro,2
2231622_macro,14
2230263_macro,14
2216316_macro,2
2007854_macro,2
4023963_macro,4
2105817_macro,14
4119011_macro,4
2239452_macro,2
2206319_macro,2
2216893_macro,19
1503434_macro,2
4078602_macro,2
7200699_macro,33
4073512_macro,2
1519257_macro,56
7214795_macro,2
4025583_macro,4
2010292_macro,2
7219794_macro,14
4072293_macro,2
7034619_macro,2
1503811_macro,4
1520727_macro,2
4070132_macro,2
2211046_macro,14
7152906_macro,4
