name,sgnum
4028939_macro,15
4071070_macro,14
2004144_macro,14
2208398_macro,14
1506661_macro,19
4025476_macro,2
4325273_macro,82
4123507,4
4325346_macro,14
2240112_macro,92
2234385,4
2221364_macro,60
7207690_macro,148
2231541_macro,14
4326633_macro,2
4306921_macro,2
4026451_macro,19
4308913_macro,12
2004940_macro,14
1544558_macro,14
4320531_macro,15
4505849_macro,33
7213225_macro,19
4079154_macro,14
2230469,2
4106998_macro,14
4321201_macro,13
4339330_macro,15
4503882_macro,127
4028855_macro,2
4303856_macro,2
1503605_macro,19
4065621_macro,14
4112705_macro,2
4329914_macro,2
4312213,14
4308637_macro,2
1508012_macro,4
4105313_macro,14
4024647_macro,14
4110957_macro,2
4085734_macro,15
2020054_macro,2
2204481_macro,18
4330187_macro,14
2207603_macro,14
7153597,2
4080859_macro,2
2101908_macro,7
7224889,19
2219152_macro,2
4064296_macro,15
4330196_macro,2
2205289_macro,61
2231431_macro,14
4068117,14
4076720_macro,14
4064759_macro,2
2018221_macro,2
2228359_macro,14
7214301_macro,152
2204293_macro,14
4327741_macro,19
4080693_macro,14
4508081_macro,13
4508064_macro,29
4309353_macro,14
4336225_macro,14
4021280_macro,14
4328822_macro,14
1543817_macro,33
4067260_macro,14
2015249_macro,19
4107975_macro,2
8000158_macro,19
4031928_macro,20
2208545_macro,14
4305588_macro,14
4023583_macro,19
4333339_macro,2
4025790,14
7114640,4
1517359_macro,33
4064371_macro,14
1508559_macro,4
4120754_macro,19
1542653,2
2103498,14
2010069_macro,19
4023287,2
4069981_macro,1
7150099,14
4060346,2
4109007_macro,14
4065159_macro,2
7108063_macro,147
4100144_macro,15
1000006_macro,19
2018163_macro,14
4027680_macro,14
4060588,2
2205588,9
1100272_macro,14
4105647_macro,14
4084010_macro,14
2013328_macro,19
4504900_macro,56
4102235_macro,4
2239704_macro,19
4066350_macro,19
1514129_macro,14
4310084_macro,15
2017218_macro,2
2004763_macro,12
2004024_macro,14
2010554_macro,2
