name,sgnum
4074437,2
7226496,2
7215594,9
2101963,14
1506234,29
4027311,2
7151587,2
2015669,14
1100226,2
1517440,14
2101110,1
7204880,1
4105182,4
4026498,4
4021728,2
1503651,2
5000009,4
4029009,2
4505800,2
1504750,4
4020750,4
2015322,14
4105893,4
4508471,2
2213865,2
4121363,4
4028575,14
2014887,4
4065225,2
4067260,14
4312367,2
7203293,14
1514326,2
4503997,2
2001769,14
4029462,11
7154629,2
7118889,14
4332494,14
7153629,19
7052848,4
7102158,7
7220119,2
7151577,4
4025788,2
4073155,4
4025298,2
2226415,2
7151387,29
4109988,7
4102039,2
2224930,14
4116372,2
1513565,2
1544050,14
4030997,4
7219318,144
2205500,11
4026881,4
1501913,2
7203265,18
1100529,4
2003370,11
2101905,19
7226238,14
2208414,2
2015272,14
7150034,19
4025552,4
7151815,2
4021814,19
2218183,4
7217020,2
2200321,2
7103002,14
7154011,2
4080575,62
7208905,2
4077995,2
7105955,7
4020302,1
7155026,1
7212126,14
7218766,2
7153969,2
7202554,2
4504253,2
1513458,4
7154416,29
4023177,14
7053128,14
2310123,14
2211363,4
4500396,18
4073964,2
4025361,2
4504831,1
7150037,2
4115279,2
4031812,4
2214759,14
2013814,2
2018584,14
4029070,19
7109667,14
4343945,57
7117482,2
4000134,2
4081667,2
7053222,2
4021848,2
4512799,2
4509412,14
1518263,2
2101976,2
7054721,4
4080105,4
4021846,2
7053095,14
7212665,2
4021663,4
2203126,4
4508439,14
2011375,62
4026754,2
7102897,2
7214360,14
2006354,14
4069142,14
2102798,2
2227480,2
1520153,14
7154724,4
2010885,4
1507463,14
7218413,2
2005171,4
7212663,2
4077966,14
1518057,14
7220022,14
1542891,2
1513955,2
1504910,19
4024226,4
2013612,2
4025175,2
7213156,14
1511957,4
4028375,2
1544224,19
4001062,2
4020174,4
2204130,2
4023085,4
2202678,2
1516375,2
4026407,4
1505114,2
4020932,14
4114247,2
4502463,1
4020281,2
2222226,9
2209664,2
1504948,2
7215124,14
2004094,4
2018306,2
4067707,2
1502975,36
7153038,4
2209780,14
7038911,4
7154804,2
7210752,2
2211174,13
2006135,2
4072174,19
9007519,19
1505509,2
7203481,2
4076911,2
4077787,2
2007153,14
4117594,19
2008381,2
7118331,2
1515617,2
4505816,2
1543862,4
2222930,14
7206488,14
1512367,2
7154084,29
7036058,4
4071997,14
4020603,2
1507617,4
4028256,19
4075640,2
4505682,2
4020664,2
2212074,19
1540482,4
4325398,4
7017744,14
4075611,2
2005354,29
4107219,4
1506095,14
2203109,14
2200227,14
4085650,2
2019898,2
4020276,14
2008366,14
7154766,2
1511805,14
4101841,4
7208269,2
1520159,62
1517925,4
2218833,14
1516081,2
2012991,2
2205224,2
7117624,2
4024035,14
7154938,14
1517801,4
7216545,31
7218782,4
7003676,4
4075456,14
4069120,2
1513449,2
2006823,14
4102673,4
4335263,2
8101221,2
2228025,2
7152830,4
4082698,14
2213149,2
2007914,2
7150365,2
7154908,2
4513000,14
2006748,2
2105586,2
4024218,4
2201928,14
7153163,4
2206112,19
1529280,14
2203540,4
4086042,5
4027840,144
7207490,14
2232576,2
4072693,14
7204362,4
2208349,2
7152987,4
7219929,14
2013641,19
9016039,14
2105105,19
2223455,2
4503650,2
2002075,14
7213502,2
4077149,2
7212709,1
1542293,2
7102297,2
1100661,2
