name,sgnum
4301507_macro,2
4101286_macro,33
2202352_macro,36
2014566_macro,12
4120415_macro,19
1512941_macro,2
4020282_macro,80
2203719_macro,12
4505197_macro,88
4109513_macro,1
1507262_macro,4
2233584_macro,15
2102455_macro,15
4340949_macro,92
4027020_macro,2
2208637_macro,15
4080152_macro,33
2230283_macro,14
4113380_macro,1
1506118_macro,14
2210604_macro,33
4121528_macro,19
4065479_macro,14
4303857_macro,14
2016021_macro,2
1515638_macro,14
1540567_macro,2
2227001_macro,14
4512836_macro,139
2008613_macro,14
4112106_macro,60
7227032_macro,63
1505458_macro,2
4085249_macro,18
1514513_macro,19
2005000_macro,14
4062193_macro,14
2211822_macro,15
2216780_macro,2
4104626_macro,14
4067507_macro,2
1503299_macro,14
4309887_macro,14
4022056_macro,19
2236610_macro,2
4071930_macro,14
4313858_macro,2
4066206_macro,19
2230962_macro,19
4106262_macro,2
1543817_macro,33
7210556_macro,33
4070737_macro,14
4078755_macro,14
4341861_macro,2
4308245_macro,2
2201076_macro,14
2012941_macro,14
4327741_macro,19
4107814_macro,2
2203814_macro,15
4504582_macro,14
2207802_macro,4
4028675_macro,114
1502764_macro,2
4075912_macro,19
4104456_macro,4
1504872_macro,4
4310833_macro,14
4341880_macro,18
4322320_macro,2
2000402_macro,19
2230663_macro,19
4311399_macro,65
4336454_macro,2
1544070_macro,14
4025196_macro,2
4102625_macro,14
4062241_macro,14
2104598_macro,2
4025646_macro,61
2228389_macro,14
2211809_macro,14
4062547_macro,2
2219110_macro,14
4500381_macro,15
2240528_macro,9
4509845_macro,60
4082681_macro,14
4081022_macro,145
4083166_macro,9
4328281_macro,2
4329194_macro,14
4060626_macro,14
4505811_macro,14
2241244_macro,4
4108866_macro,2
4063824_macro,2
2102375_macro,15
4071797_macro,2
2208106_macro,14
4112407_macro,14
4112037_macro,33
4076762_macro,61
1516946_macro,2
2103341_macro,176
4331883_macro,14
4022801_macro,2
2214450_macro,33
4505301_macro,18
2230890_macro,14
4303955_macro,14
1542996_macro,61
1504005_macro,19
4507034_macro,33
1516583_macro,59
1516573_macro,50
4102553_macro,2
2214666_macro,14
7218614_macro,34
2220619_macro,14
1543090_macro,14
4102186_macro,19
4303619_macro,14
2004456_macro,4
4507438_macro,2
4024186_macro,14
4314890_macro,2
1528960_macro,15
1505869_macro,19
4074561_macro,14
1513084_macro,14
2202452_macro,20
4075668_macro,14
2013125_macro,4
2211090_macro,2
2209383_macro,19
1007221_macro,19
4113174_macro,61
4065822_macro,14
4072052_macro,29
4334391_macro,14
1506958_macro,5
2006934_macro,61
1509249_macro,11
4505622_macro,2
2018455_macro,14
2219943_macro,19
2227940_macro,2
2200361_macro,14
4315364_macro,14
4337424_macro,2
4301884_macro,14
2231036_macro,2
2228109_macro,2
4106452_macro,2
2210748_macro,14
4085784_macro,14
4315198_macro,15
4330557_macro,1
2217787_macro,19
2234177_macro,15
2013147_macro,61
4117319_macro,19
4001240_macro,14
4107295_macro,14
2234743_macro,14
4334095_macro,199
4077131_macro,2
4021626_macro,15
7218474_macro,19
2101325_macro,19
4021817_macro,2
4310305_macro,2
4066231_macro,14
2203504_macro,14
4078828_macro,4
4085537_macro,14
1519236_macro,2
2234692_macro,29
4316799_macro,4
2010938_macro,61
4339470_macro,2
4106240_macro,2
4064819_macro,19
4309481_macro,14
4507248_macro,2
4064788_macro,15
2234897_macro,14
2206731_macro,14
4324543_macro,2
2212190_macro,2
4075147_macro,14
4108557_macro,19
2229920_macro,19
4027055_macro,61
4062276_macro,14
4343812_macro,14
2230267_macro,2
2203657_macro,14
4104932_macro,14
2234234_macro,114
4314786_macro,5
2227744_macro,14
4077759_macro,14
4317505_macro,13
1540547_macro,14
2003268_macro,37
2104971_macro,14
2205000_macro,2
4317541_macro,2
4309208_macro,2
4081416_macro,14
4070198_macro,14
4326554_macro,14
4107777_macro,2
4110794_macro,15
2213726_macro,61
4501933_macro,19
4307041_macro,88
2202688_macro,14
4021380_macro,60
2012425_macro,2
4079259_macro,63
4081261_macro,2
4338476_macro,61
4060204_macro,19
2217679_macro,14
2018060_macro,2
2013479_macro,19
4332018_macro,19
2019933_macro,2
4322924_macro,62
4332557_macro,14
2240401_macro,82
4030083_macro,2
2207161_macro,148
4026737_macro,15
1503253_macro,33
2218216_macro,78
1516375_macro,2
4329570_macro,14
2011768_macro,14
4062249_macro,15
2241798_macro,14
4315608_macro,15
4084982_macro,14
2233719_macro,14
4114398_macro,9
4333055_macro,15
4029673_macro,61
4062920_macro,14
2017498_macro,2
4068099_macro,33
4063273_macro,14
2012938_macro,2
1100880_macro,2
2006234_macro,14
2218552_macro,2
4327705_macro,61
4324174_macro,2
4333015_macro,19
1512947_macro,2
4117822_macro,2
1507230_macro,2
2207394_macro,14
4505142_macro,2
2236780_macro,14
1502577_macro,19
4100359_macro,2
2205965_macro,19
1520193_macro,14
4307736_macro,14
1508942_macro,62
1512022_macro,4
2007962_macro,2
4064047_macro,14
4083850_macro,2
2006122_macro,29
4504527_macro,14
4000208_macro,2
4321140_macro,14
2211988_macro,2
4114463_macro,2
2228807_macro,2
1502860_macro,4
4301126_macro,19
4120330_macro,61
4310003_macro,2
4085691_macro,19
2228307_macro,14
4072184_macro,2
2013694_macro,15
4503254_macro,2
4313473_macro,15
7221741_macro,159
1200021_macro,14
2010219_macro,19
1506741_macro,29
2204286_macro,14
4106426_macro,19
4071918_macro,4
1542820_macro,15
4107735_macro,14
4064627_macro,14
2010955_macro,14
1514552_macro,19
4077738_macro,1
7111702_macro,78
4336761_macro,61
2007474_macro,19
4076959_macro,2
2007654_macro,2
4322804_macro,2
4082749_macro,61
2219361_macro,14
4337820_macro,15
2205482_macro,14
4505554_macro,14
4020660_macro,14
4069919_macro,19
4301564_macro,2
4332618_macro,2
2227611_macro,29
4084425_macro,19
2241652_macro,29
4302547_macro,2
4314394_macro,14
7215285_macro,57
4335774_macro,62
4342156_macro,2
2234076_macro,96
4110445_macro,14
2100477_macro,1
2015959_macro,2
4070201_macro,60
1501976_macro,14
1516591_macro,2
4067607_macro,2
4081630_macro,11
4076944_macro,4
1511772_macro,2
4327911_macro,14
2015552_macro,14
4068196_macro,14
2200079_macro,15
2213628_macro,14
4084099_macro,2
4336168_macro,60
4030165_macro,19
4065303_macro,2
4316686_macro,2
4302988_macro,14
4338250_macro,14
1507510_macro,4
2209716_macro,15
4313123_macro,2
4104401_macro,14
4310506_macro,2
2237164_macro,14
4326127_macro,14
4503255_macro,56
4316552_macro,1
1505384_macro,2
4319104_macro,130
4114923_macro,2
4105799_macro,14
2229752_macro,2
2218135_macro,14
4332524_macro,14
4300493_macro,62
4115115_macro,2
4025919_macro,2
2209656_macro,19
2230205_macro,2
2231696_macro,4
4325980_macro,2
1513522_macro,14
4027619_macro,14
2005020_macro,19
7226661_macro,62
4086069_macro,19
4340607_macro,14
4063124_macro,19
4335139_macro,4
4340577_macro,14
4116161_macro,4
4315759_macro,14
2100058_macro,2
4503065_macro,148
2218031_macro,33
1101135_macro,14
4064714_macro,29
2211446_macro,29
4341216_macro,2
2218056_macro,14
4318073_macro,62
2220335_macro,15
2205704_macro,159
2017144_macro,4
1513528_macro,14
4073589_macro,9
4110488_macro,4
2220143_macro,14
2200120_macro,4
4063847_macro,61
2209334_macro,14
4069448_macro,2
2219003_macro,14
4339856_macro,2
4060527_macro,2
4125311_macro,60
4022942_macro,14
4083506_macro,14
2221334_macro,14
4071418_macro,33
4327210_macro,169
2238533_macro,2
2221581_macro,4
4072140_macro,2
4315725_macro,29
4064036_macro,19
4120296_macro,60
2241117_macro,4
4104403_macro,2
4106174_macro,14
4076185_macro,33
4024371_macro,61
4084270_macro,34
2008898_macro,19
4115055_macro,15
2231373_macro,4
1544937_macro,85
2218416_macro,9
4063929_macro,2
1541707_macro,14
2211813_macro,2
4073059_macro,19
4301128_macro,29
2235098_macro,2
2203735_macro,14
4077239_macro,9
4082282_macro,19
1100795_macro,2
2231860_macro,60
4075186_macro,2
2007845_macro,15
4342389_macro,29
4081382_macro,14
4328694_macro,14
1506087_macro,2
4023043_macro,2
2233323_macro,14
2211329_macro,14
4085739_macro,14
4021467_macro,61
4067322_macro,4
4070484_macro,33
4313528_macro,14
4333567_macro,14
2005394_macro,2
4318288_macro,2
2220221_macro,29
2206354_macro,2
2001136_macro,14
4508824_macro,19
4117066_macro,2
4322422_macro,14
4063817_macro,14
4111499_macro,14
1506212_macro,33
4068203_macro,33
4102522_macro,33
4086451_macro,2
4330943_macro,4
4083546_macro,2
4073635_macro,14
4000212_macro,19
7024761_macro,76
4118056_macro,88
2006130_macro,61
4064095_macro,14
2214117_macro,14
2018721_macro,14
4027319_macro,14
4079137_macro,14
4342699_macro,15
2213371_macro,14
4020953_macro,2
2221118_macro,14
4024234_macro,4
2005732_macro,14
1542774_macro,14
7217314_macro,61
2014210_macro,61
2229390_macro,19
2238013_macro,33
4119618_macro,159
4065797_macro,2
1512451_macro,14
1523946_macro,122
2207110_macro,14
4078774_macro,14
2015432_macro,14
4065340_macro,14
1502517_macro,2
1517740_macro,2
2214491_macro,19
2227989_macro,2
4070658_macro,2
2105085_macro,2
4308565_macro,2
1506961_macro,2
2020293_macro,19
2012285_macro,2
4306914_macro,2
2015464_macro,14
4029215_macro,19
2231646_macro,14
4303778_macro,4
4026237_macro,60
2208259_macro,14
4100221_macro,14
2211525_macro,2
2212912_macro,29
2019852_macro,4
4065540_macro,4
2001475_macro,88
2230074_macro,2
4113782_macro,14
1514995_macro,2
2221713_macro,61
4501007_macro,2
2239585_macro,15
2216652_macro,2
4107218_macro,2
2000384_macro,2
2207951_macro,14
4116255_macro,2
2013139_macro,61
4330686_macro,36
2236726_macro,14
4305501_macro,2
2002111_macro,1
2210531_macro,2
1518506_macro,14
2000167_macro,61
2102147_macro,19
4304742_macro,15
2217563_macro,14
4502925_macro,14
2233799_macro,15
7207014_macro,165
4069610_macro,14
4323240_macro,12
4108353_macro,20
2204393_macro,73
2014675_macro,33
4062496_macro,14
4070964_macro,14
4075621_macro,2
4081037_macro,4
4085525_macro,14
2011276_macro,2
4081937_macro,19
4343513_macro,2
4312929_macro,15
4308546_macro,14
4307238_macro,14
7024518_macro,173
4327574_macro,9
7210481_macro,62
4337157_macro,2
4341238_macro,14
2102154_macro,4
1529203_macro,2
4507925_macro,19
2017252_macro,1
2215869_macro,62
4103715_macro,61
4068604_macro,19
4501686_macro,14
4105665_macro,4
4331929_macro,87
4500027_macro,96
1517822_macro,2
2009961_macro,88
1543044_macro,33
1518713_macro,19
7226708_macro,62
2107916_macro,19
2006103_macro,19
4510621_macro,33
4114725_macro,14
1520300_macro,2
4114061_macro,14
1513608_macro,2
1544005_macro,2
2019249_macro,14
4024237_macro,19
2003732_macro,2
4028992_macro,14
2008601_macro,2
4319215_macro,2
4105159_macro,19
2212890_macro,14
4067242_macro,2
4119172_macro,19
2240728_macro,2
2200003_macro,14
2200481_macro,14
2240305_macro,2
4502343_macro,2
2221441_macro,14
4123342_macro,56
4114266_macro,33
2209783_macro,2
1505421_macro,2
4507002_macro,60
2213327_macro,2
4300253_macro,19
2204325_macro,33
2229194_macro,61
2234835_macro,18
4063434_macro,2
4319224_macro,2
2213270_macro,61
1505179_macro,14
2208497_macro,4
4102219_macro,60
2230956_macro,2
1502401_macro,1
4103322_macro,29
4311960_macro,79
2203582_macro,14
1515545_macro,4
2232187_macro,4
4308746_macro,14
4070577_macro,14
1515788_macro,4
4028242_macro,19
4122263_macro,19
2232288_macro,14
4069242_macro,2
4301211_macro,86
2221808_macro,14
1501657_macro,14
4026029_macro,62
1517394_macro,19
2204586_macro,19
2005757_macro,15
2204036_macro,33
1506684_macro,4
2006491_macro,14
4060545_macro,2
4103636_macro,2
4112832_macro,4
2101464_macro,19
4320142_macro,14
4335205_macro,2
2210452_macro,14
1508060_macro,52
4317572_macro,15
4080939_macro,2
2210028_macro,19
4072604_macro,29
4070597_macro,14
2211957_macro,2
1518472_macro,14
1542291_macro,14
1508783_macro,2
4309595_macro,14
4060794_macro,14
4322424_macro,14
4308900_macro,31
4027907_macro,2
2205101_macro,14
4027798_macro,4
2006172_macro,19
4326499_macro,2
4066170_macro,19
7215783_macro,62
2011075_macro,15
2104201_macro,62
4085597_macro,14
4079603_macro,19
7029539_macro,152
4341029_macro,2
2017434_macro,14
4104419_macro,19
4025292_macro,14
2205918_macro,2
4073178_macro,14
2008140_macro,2
1502427_macro,2
2214069_macro,19
4021166_macro,14
2219571_macro,2
4081287_macro,14
1503896_macro,19
4505942_macro,15
4029173_macro,2
2207387_macro,61
2000414_macro,88
4064497_macro,18
7205415_macro,161
2206844_macro,14
4063021_macro,33
4312389_macro,4
4065973_macro,14
2019843_macro,14
2013280_macro,4
4070397_macro,14
4086202_macro,2
4308876_macro,2
2203888_macro,14
2017511_macro,61
2207593_macro,14
4065170_macro,2
4069817_macro,2
1517783_macro,19
4338281_macro,19
4501974_macro,2
4322833_macro,14
4108261_macro,2
4311890_macro,2
4029135_macro,82
4334383_macro,14
1100992_macro,14
7009412_macro,96
4323298_macro,60
4071132_macro,14
1502034_macro,14
2219748_macro,14
4115590_macro,2
2218792_macro,14
1513598_macro,2
1514399_macro,14
4124151_macro,19
4500717_macro,19
4310768_macro,2
1505357_macro,19
4309876_macro,29
4122906_macro,19
2215945_macro,4
4329769_macro,15
1513905_macro,14
2234512_macro,2
1513045_macro,5
1515987_macro,2
1512638_macro,2
4311765_macro,13
7216190_macro,33
4070810_macro,2
2013171_macro,2
4336978_macro,15
1518082_macro,14
2104234_macro,14
4068702_macro,14
4310941_macro,2
4339457_macro,122
1503699_macro,19
4320039_macro,14
2015585_macro,62
4069972_macro,19
4072121_macro,2
4116551_macro,2
2014263_macro,1
2203522_macro,2
4074557_macro,15
4329294_macro,114
4502344_macro,14
1516927_macro,2
4074813_macro,2
4343409_macro,2
4074428_macro,14
2233201_macro,61
2201364_macro,14
4069215_macro,14
1504627_macro,14
2008238_macro,18
4020335_macro,14
2235199_macro,19
4319946_macro,13
1505101_macro,2
4081496_macro,14
4101973_macro,14
4071174_macro,2
2100579_macro,169
2227467_macro,19
2221509_macro,14
1506056_macro,18
1512215_macro,14
2217689_macro,14
4508173_macro,19
7037214_macro,79
4315380_macro,14
4027305_macro,15
4074068_macro,15
2014811_macro,61
4334523_macro,56
7211123_macro,74
2237019_macro,2
2013877_macro,19
7106779_macro,148
4338093_macro,14
4078807_macro,4
2020654_macro,2
4069697_macro,4
4081006_macro,2
2239862_macro,14
2013843_macro,15
2015155_macro,4
4066272_macro,14
4104383_macro,14
2010576_macro,11
4317487_macro,33
1513013_macro,14
1504484_macro,14
4316696_macro,14
2206625_macro,19
4323100_macro,2
2205079_macro,15
4318975_macro,56
4028119_macro,2
2214235_macro,2
2104218_macro,40
8101739_macro,61
4113545_macro,19
4338877_macro,9
2203849_macro,2
4504900_macro,56
1516173_macro,14
4304749_macro,15
1502782_macro,2
2232629_macro,14
7226131_macro,33
4113722_macro,15
4020224_macro,19
2218761_macro,185
2217163_macro,14
2211033_macro,14
4334890_macro,60
2219882_macro,5
1544300_macro,70
4335550_macro,14
2238404_macro,4
2233464_macro,19
4324793_macro,2
4317849_macro,14
2234963_macro,14
4074019_macro,14
4107491_macro,1
1517005_macro,2
7225330_macro,19
2232647_macro,15
4086628_macro,14
2200332_macro,14
4322707_macro,2
4319513_macro,33
2013800_macro,14
2213917_macro,14
1514139_macro,19
2008583_macro,2
2200599_macro,19
4306629_macro,14
4503068_macro,19
4085535_macro,19
2234882_macro,14
7107545_macro,152
4062545_macro,62
4306187_macro,14
1516567_macro,50
4086085_macro,2
4060405_macro,14
4325609_macro,2
2016364_macro,2
4322010_macro,14
4079074_macro,1
2211709_macro,14
2012171_macro,2
1519309_macro,29
2204893_macro,29
2239427_macro,2
2006092_macro,5
2007397_macro,33
4335443_macro,14
2230295_macro,15
1101091_macro,19
4117499_macro,2
2218315_macro,19
2006611_macro,61
4335420_macro,14
2211112_macro,14
1100623_macro,14
2215636_macro,14
4331166_macro,2
7005224_macro,114
4309287_macro,27
2218299_macro,33
2241491_macro,56
2007865_macro,2
2207386_macro,73
4322693_macro,15
1515441_macro,4
2018431_macro,14
4100298_macro,4
2000623_macro,76
4063667_macro,14
4321712_macro,13
4025790_macro,14
4023619_macro,4
4085008_macro,11
2202624_macro,15
4324052_macro,19
2229633_macro,14
4021284_macro,2
4065419_macro,61
4064139_macro,14
1507600_macro,14
4063606_macro,2
4320700_macro,2
2219765_macro,2
4030095_macro,14
4339571_macro,43
4076193_macro,19
4064086_macro,14
1508316_macro,2
2204541_macro,4
2216363_macro,2
1542869_macro,15
4060641_macro,15
1507409_macro,14
4116421_macro,33
4076238_macro,2
2101479_macro,61
4341756_macro,19
2205063_macro,2
4079270_macro,14
1507751_macro,19
4085533_macro,2
2214832_macro,61
1508782_macro,4
4061075_macro,19
4502716_macro,19
2241834_macro,2
4066919_macro,14
2017243_macro,2
4069975_macro,2
4317986_macro,14
4025634_macro,61
1512615_macro,19
2203647_macro,2
1506413_macro,4
4062348_macro,33
2202537_macro,2
4026351_macro,2
2236632_macro,14
1506050_macro,61
4334397_macro,14
4338077_macro,14
4114617_macro,2
2237877_macro,14
1542724_macro,19
1514820_macro,14
4108682_macro,14
2012883_macro,61
1543946_macro,14
4118358_macro,19
1504144_macro,61
2212618_macro,14
4305290_macro,14
4302054_macro,15
4077557_macro,19
4332992_macro,61
4103063_macro,2
4104290_macro,2
4317803_macro,2
1508609_macro,13
4112963_macro,14
4062325_macro,2
4342842_macro,2
4108444_macro,14
4030463_macro,2
1540600_macro,2
4077939_macro,2
2239419_macro,14
4306123_macro,2
1512089_macro,15
2238637_macro,2
7208653_macro,30
4117793_macro,2
4080039_macro,14
4078332_macro,14
2003175_macro,14
2234712_macro,61
4332037_macro,2
4023666_macro,19
4114955_macro,14
2015310_macro,14
2227367_macro,14
2240246_macro,15
4112643_macro,34
4114145_macro,2
1515497_macro,2
4307872_macro,14
4062648_macro,2
2217013_macro,62
4106844_macro,173
4311966_macro,2
2101822_macro,13
4506688_macro,14
4341997_macro,14
4330317_macro,14
4063867_macro,2
4504158_macro,15
4031287_macro,2
4110921_macro,14
1505748_macro,14
1543072_macro,2
1542870_macro,2
4082905_macro,4
4025426_macro,14
4073440_macro,14
2210847_macro,19
4079393_macro,2
4331895_macro,62
4313196_macro,62
4336995_macro,15
2228094_macro,18
4084368_macro,14
2220724_macro,2
4027954_macro,33
2011181_macro,19
4337122_macro,61
2016703_macro,61
7215055_macro,61
4330332_macro,2
2011657_macro,14
7226013_macro,61
1507615_macro,19
2005001_macro,2
4334513_macro,1
4503170_macro,15
1542265_macro,14
4105575_macro,19
2213274_macro,14
2007621_macro,2
1516183_macro,2
2202331_macro,14
4064517_macro,2
1512369_macro,14
1520552_macro,14
4306549_macro,19
4338402_macro,14
2213450_macro,15
4305769_macro,2
4119693_macro,82
4306671_macro,2
4061022_macro,2
2013979_macro,14
1501871_macro,4
2104097_macro,14
1100833_macro,2
1500036_macro,2
4503002_macro,14
4067988_macro,14
2210224_macro,19
2001393_macro,19
2218639_macro,1
4072606_macro,14
4077421_macro,2
4067183_macro,33
4342503_macro,86
2013905_macro,19
4330618_macro,128
4080011_macro,15
2018571_macro,61
4504382_macro,33
2216139_macro,19
2230487_macro,2
