name,sgnum
1000006_macro,19
1000508_macro,56
1004002_macro,2
1004031_macro,15
1007188_macro,15
1007203_macro,14
1007224_macro,2
1008177_macro,61
1008775_macro,113
1011016_macro,14
1100118_macro,14
1100119_macro,2
1100123_macro,2
1100143_macro,14
1100147_macro,2
1100150_macro,2
1100154_macro,2
1100157_macro,14
1100164_macro,15
1100165_macro,61
1100178_macro,2
1100192_macro,2
1100197_macro,14
1100200_macro,2
1100202_macro,1
1100204_macro,61
1100207_macro,2
1100216_macro,14
1100220_macro,45
1100222_macro,14
1100226_macro,2
1100227_macro,14
1100230_macro,33
1100262_macro,2
1100263_macro,14
1100264_macro,19
1100266_macro,4
1100272_macro,14
1100276_macro,2
1100279_macro,33
1100280_macro,2
1100282_macro,19
1100283_macro,61
1100292_macro,19
1100293_macro,2
1100295_macro,14
1100298_macro,14
1100304_macro,15
1100306_macro,2
1100310_macro,4
1100311_macro,4
1100314_macro,19
1100319_macro,19
1100333_macro,14
1100334_macro,14
1100335_macro,14
1100336_macro,2
1100347_macro,2
1100350_macro,14
1100352_macro,19
1100358_macro,15
1100362_macro,14
1100365_macro,61
1100377_macro,4
1100378_macro,61
1100379_macro,19
1100390_macro,14
1100391_macro,61
1100408_macro,14
1100412_macro,198
1100416_macro,19
1100422_macro,14
1100424_macro,2
1100442_macro,19
1100460_macro,169
1100463_macro,62
1100469_macro,14
1100471_macro,14
1100493_macro,14
1100495_macro,85
1100499_macro,113
1100517_macro,19
1100529_macro,4
1100536_macro,19
1100552_macro,19
1100556_macro,2
1100561_macro,2
1100590_macro,2
1100592_macro,2
1100593_macro,4
1100608_macro,14
1100609_macro,19
1100626_macro,14
1100633_macro,18
1100639_macro,14
1100640_macro,14
1100649_macro,61
1100650_macro,19
1100653_macro,2
1100655_macro,56
1100663_macro,31
1100675_macro,15
1100678_macro,14
1100679_macro,2
1100680_macro,33
1100685_macro,2
1100686_macro,14
1100693_macro,2
1100698_macro,2
1100699_macro,14
1100703_macro,2
1100743_macro,2
1100745_macro,2
1100752_macro,88
1100754_macro,18
1100759_macro,2
1100761_macro,15
1100763_macro,2
1100768_macro,15
1100781_macro,2
1100783_macro,4
1100788_macro,62
1100793_macro,14
1100794_macro,19
1100796_macro,14
1100800_macro,2
1100801_macro,2
1100803_macro,29
1100805_macro,2
1100807_macro,14
1100808_macro,14
1100811_macro,2
1100812_macro,14
1100823_macro,19
1100824_macro,14
1100837_macro,14
1100839_macro,2
1100860_macro,14
1100877_macro,2
1100890_macro,2
1100891_macro,14
1100893_macro,14
1100906_macro,14
1100907_macro,19
1100909_macro,2
1100914_macro,19
1100945_macro,2
1100966_macro,14
1100974_macro,15
1100988_macro,2
1101009_macro,14
1101052_macro,2
1101059_macro,2
1101074_macro,14
1101075_macro,2
1101089_macro,14
1101100_macro,5
1101102_macro,2
1101107_macro,19
1101112_macro,19
1101115_macro,2
1101128_macro,14
1101129_macro,19
1101131_macro,2
1101132_macro,18
1101141_macro,19
1101158_macro,14
1101177_macro,63
1101181_macro,15
1101183_macro,15
1101184_macro,15
1101189_macro,15
1101191_macro,15
1101193_macro,14
1101195_macro,14
1200001_macro,61
1500002_macro,15
1500003_macro,14
1500007_macro,61
1500009_macro,14
1500018_macro,14
1500026_macro,2
1500037_macro,2
1500040_macro,61
1501472_macro,14
1501548_macro,2
1501549_macro,2
1501550_macro,2
1501557_macro,15
1501566_macro,96
1501596_macro,147
1501618_macro,15
1501628_macro,131
1501636_macro,86
1501638_macro,14
1501641_macro,14
1501651_macro,14
1501652_macro,14
1501663_macro,14
1501667_macro,2
1501671_macro,2
1501679_macro,2
1501683_macro,19
1501707_macro,2
1501724_macro,62
1501746_macro,33
1501751_macro,2
1501752_macro,14
1501759_macro,61
1501760_macro,14
1501764_macro,62
1501772_macro,15
1501774_macro,2
1501775_macro,2
1501780_macro,15
1501786_macro,14
1501796_macro,4
1501798_macro,4
1501800_macro,4
1501806_macro,4
1501807_macro,4
1501811_macro,19
1501819_macro,19
1501831_macro,1
1501832_macro,18
1501833_macro,19
1501842_macro,14
1501845_macro,4
1501850_macro,61
