name,sgnum
4123238,2
2233814_macro,14
1515458_macro,14
8102455,14
7110674,2
4100789_macro,2
7111832,14
2217657_macro,62
2220885,14
7151948,14
4322159_macro,14
7203623_macro,14
7113172_macro,14
4068539_macro,14
4513127,14
2241422_macro,18
1518677,14
7025079,4
4513972,19
2209571_macro,2
4316212_macro,14
4340605_macro,2
4026274,19
4114038_macro,2
4309444_macro,2
2202943_macro,61
1506056_macro,18
4081498,4
7150415,1
4121369_macro,19
4105611,2
4334077,2
2018961_macro,1
2011938,14
7034223,9
4300331,15
7220349,14
7201640,14
2009043,14
4319437,15
7023800,14
7012912,62
7017438_macro,14
2013331,14
7034004,5
2225413,14
7202413,2
7017099,2
2011139,14
7022386,7
4512228_macro,4
4510522_macro,15
4065025,14
4343432_macro,14
7205914_macro,4
2214839_macro,18
7150089,4
4105478,4
7204556,2
2234732_macro,19
7153775,2
7113285,29
4102395,2
2213518,2
4065046_macro,2
2016089_macro,14
7113564,15
2013221_macro,50
7052857,7
4509323,2
7024926,14
4061680_macro,14
2015456_macro,14
4105004_macro,14
2210746,14
4513929_macro,2
7113190,2
4000694_macro,33
7003280,14
4027065,2
7027155,14
7227323_macro,2
7117261,2
7115749,2
2221579,14
7213671_macro,61
2006458,14
2235147_macro,2
4109073_macro,14
8101983,14
4080179_macro,14
1518326,2
7029368_macro,14
7117153,14
1513282,14
2231381_macro,19
7105809,2
7201436,15
2230211,15
4031913_macro,60
8000117_macro,86
7118415,14
4109362,14
7220546_macro,2
4304231,14
2202933_macro,15
7028861,2
7021899,14
4513619,2
1504818,2
4065142,2
4326886_macro,19
4020024_macro,14
2231551_macro,2
2230480_macro,2
7215858,2
2006742,9
4336296,4
7025447,15
7221191,14
7204238,15
4306729,14
7214285,14
2222867,14
4101269,9
7024265,14
2219195_macro,5
7153387,14
1518143_macro,4
7028091,2
4022501,4
4082532_macro,2
7208443,2
2220060,2
2238788,2
4002683,14
2214214,14
7225718,2
2009387_macro,61
1507064_macro,5
7012411,14
2016181,19
2009024,2
2218622,19
7207244,14
7216877,4
1506687_macro,2
7052626_macro,96
2241969_macro,2
4313180_macro,14
4505956,4
4110088,19
4341527_macro,81
7108399,4
1504018_macro,14
2225913,2
2234146_macro,12
7055070,14
2012368,14
1511999,33
2219170_macro,14
7112233,14
1511846_macro,4
4068264_macro,14
4070536,2
7014628,33
2210698_macro,14
2239600,14
4335051_macro,2
4334217,2
4074053_macro,2
7118228,19
2104319_macro,2
4332499_macro,63
4084153_macro,2
4331237_macro,2
4107219,4
1506762_macro,14
7211478,14
2105584,14
4064917_macro,2
2228850_macro,14
8101101,15
2216720_macro,14
2217095_macro,148
2235880,14
2215472_macro,2
4020031,2
2232704_macro,19
2205587,62
4065023_macro,15
7020958,14
2011636_macro,2
4334988,14
4325231_macro,14
4060713_macro,2
7002034,14
7022096,14
7109469,15
7114185,2
7036640,15
4080409,2
4304379_macro,15
1511908_macro,14
2237344,15
4112974_macro,19
8100568_macro,229
4065197_macro,14
7151737,7
2013154,4
4337134_macro,146
4103621_macro,14
2100994,2
4075548,2
7104747_macro,2
4030072,14
1504013_macro,2
7005383,2
8102814_macro,14
2230631_macro,2
2213308,14
2001473_macro,2
2008284_macro,14
7020119,5
7220632_macro,14
2015399,2
4506271_macro,14
2240759,14
7101465_macro,19
7001363,61
2211159_macro,2
2230730_macro,14
4082556_macro,15
4086154_macro,2
4080811,14
2227701,14
2235647,19
7153449,14
7016832_macro,14
4021678_macro,14
1513477_macro,14
2103575_macro,14
2016568,2
4027743,14
4501834_macro,2
7009760,2
7041726,14
7218348,2
7040684,19
7219708,29
7041232,2
4086493_macro,14
4332377_macro,14
2238005,14
4312738_macro,14
4321179,2
4323148_macro,14
1508291,14
2228431,14
4508160,14
2224625,14
7153583,2
4336299_macro,2
2235403_macro,12
4023533,14
4077373,14
2229210_macro,14
4332880,14
7223340,2
4320458_macro,2
4322216,14
7021156,2
7151656,2
7116448,19
7212806,15
2012374,15
4001388,7
2219638,2
