cif,a,b,c,alpha,beta,gamma
7111863,14.1054,9.1708,6.2685,91.0871,92.8587,90.8319
1529875,20.4579,12.3658,6.8198,91.8392,88.7578,90.5634
1505621,13.1741,10.4122,6.4902,92.7395,91.0309,93.8164
4333818,17.7329,12.108,7.0544,93.0613,89.2263,91.365
2007443,20.5256,7.2709,5.9089,96.1345,91.3626,88.0457
4103595,14.2567,8.7117,6.2275,91.0573,92.7533,90.4065
2238828,12.9802,11.9937,6.4979,91.2246,89.1909,95.2337
1508740,18.4513,13.3143,5.718,93.6664,88.6212,89.9888
4023195,12.3492,11.3432,8.257,91.8511,89.255,90.8336
7150031,11.6349,7.5397,6.2061,93.1084,92.9036,91.4737
4506735,16.6287,9.8709,8.7332,90.6707,93.2753,91.7855
4329294,17.1,17.0636,8.4508,91.011,92.3332,90.322
1506636,14.9217,12.3604,6.1948,92.2052,91.823,90.1051
4341313,12.889,11.9545,9.2736,90.4088,89.1706,90.0712
2009114,24.0225,7.9449,6.3402,94.6251,87.2134,87.3967
2009304,12.7883,8.1958,5.6233,93.8501,93.3861,91.1102
4027612,16.9879,9.9692,7.8676,94.5349,93.3183,90.5829
2201643,20.5355,12.3741,5.9949,90.3761,82.8036,90.2944
4103231,14.2648,12.6641,11.4163,90.9683,92.2603,89.6222
1504512,19.3365,12.2056,6.3843,92.9663,87.3457,90.5338
7151832,15.5336,7.8075,6.5773,90.3854,91.1348,87.3363
1502223,26.8103,13.479,7.339,95.3581,86.3874,90.8784
7205922,18.5717,7.5719,5.9314,96.717,92.0953,88.5766
2227688,12.8052,9.8177,7.2876,95.0832,91.8395,91.4756
1504657,17.4676,14.44,7.97,93.9201,92.1365,91.3248
2008470,24.6997,11.8323,8.8718,94.2571,89.9436,90.1492
2240112,18.6396,18.3549,10.3389,93.2988,93.132,88.6886
7220055,18.6693,10.0364,8.9035,92.5098,93.1887,89.3658
2215558,19.6916,10.2697,4.4295,91.7217,79.7859,91.0903
1517506,13.2284,9.2986,7.8139,93.7917,93.384,90.9916
4324164,11.9091,9.961,8.8354,94.7005,97.2397,99.763
1503522,28.4087,7.9551,5.8402,91.8227,81.1371,85.7883
4028747,12.5596,11.286,10.5402,93.1531,91.8418,90.5457
7108094,22.7037,7.5795,5.3815,95.756,89.9404,89.3893
1501776,10.4784,9.1362,5.0057,94.8144,94.528,92.9549
2213115,14.3565,8.6531,6.109,93.0982,94.5809,91.6275
2239669,13.3856,7.6601,6.0129,91.9745,91.4048,88.6971
4031864,14.6876,10.4604,7.0873,93.4458,91.7973,90.4323
4111726,21.6763,15.086,7.7505,93.1034,91.0152,91.5459
2011289,13.7034,10.3537,8.7836,92.0146,93.3417,91.2248
1504911,14.7786,10.519,8.0949,93.8334,93.648,92.5034
4032027,11.4606,10.8694,6.9981,94.0655,95.9754,110.2611
2233413,21.8361,8.6456,5.4026,93.728,89.3473,90.5196
4028921,18.5884,8.7613,7.2925,92.8744,90.8285,91.086
4112459,13.5497,12.0382,10.9427,93.7079,93.4101,90.7273
2231532,17.0199,14.5441,8.1524,94.2114,92.1569,90.7868
4321022,16.4238,9.0334,8.0002,91.939,92.0992,90.2587
2010831,16.5308,8.1222,6.9379,93.5639,90.4712,86.4198
2239941,14.6229,10.3827,5.8571,92.2893,92.0865,92.5984
7103266,13.8514,9.0192,5.3264,90.4997,93.1005,89.9057
2233499,10.4428,9.3857,8.0868,92.764,93.9644,91.9386
2205492,13.4199,12.6735,7.42,92.7521,88.7276,90.2272
7152455,13.7848,11.9313,4.7585,84.1607,86.7239,89.6813
4028204,11.2991,9.5721,8.0326,94.0604,95.5253,94.9281
4074305,13.3491,11.2433,9.7473,95.9344,100.0459,101.1377
2208220,14.845,11.2801,8.9437,93.5342,93.3706,91.8642
4000066,17.4299,12.2532,10.2123,91.2244,93.5137,91.5196
7152301,10.2965,8.8156,7.2914,92.6195,93.8109,92.6365
2007179,13.4425,12.2785,12.1811,91.4601,90.1057,88.9008
2206212,16.0618,13.3687,7.6115,93.0767,90.546,92.328
2101303,12.1385,7.7866,5.6449,93.6348,91.9319,91.2359
4063062,14.9452,10.3068,6.0749,92.3616,90.4734,90.7395
2210644,13.7704,9.9337,6.0475,92.3797,92.458,90.4956
2221362,17.7275,15.7384,4.929,94.7406,91.6357,88.9595
1542310,19.2935,15.5185,5.3237,97.1177,90.3023,91.4276
1542951,10.9674,9.1151,8.5614,99.4178,99.8851,97.6739
1506210,12.7749,8.412,6.5469,93.6081,93.1834,90.8159
2010508,10.5847,9.5603,8.5674,99.8027,101.0509,96.4979
2004532,13.4316,11.2988,5.9631,91.3622,89.5215,91.9804
1505922,17.2463,15.3099,6.1086,90.6833,88.8874,89.4665
2105218,17.3459,10.9541,7.9232,93.7396,93.7856,90.6211
2236654,17.3348,7.0833,5.8086,95.9239,93.0074,86.1572
2007774,16.1603,8.3819,7.7951,92.6008,90.7783,88.4246
2006664,24.5564,12.18,7.0445,92.6326,89.7205,88.7476
4029991,16.9383,13.0196,3.7223,86.3919,83.4004,88.0642
2015326,13.6958,12.3204,7.1681,92.4562,91.408,103.5227
4031994,22.8304,12.6164,6.0834,90.3158,85.4591,88.7447
4022633,20.3507,9.7394,6.2441,92.3285,89.7678,91.048
4029171,13.3954,7.918,5.8877,92.7624,92.7186,90.0277
4513611,16.9683,10.3267,5.6372,91.4463,87.0822,90.1793
4109867,11.4438,8.786,6.9809,92.2522,92.7138,91.6216
2019926,27.8799,12.6422,7.3734,91.9228,88.9281,92.825
2231646,16.1804,12.0659,10.0814,90.3985,92.08,107.1943
2103854,9.8641,8.6316,4.7713,94.0314,94.7338,92.3895
4110921,18.4148,11.8909,8.6139,91.3894,91.6778,91.8649
1517783,19.3793,14.7462,4.8828,94.357,88.5315,90.0211
2242006,23.0837,8.7516,7.7157,94.6808,91.013,87.0647
4029991,17.0072,12.9871,3.7319,85.8946,82.501,88.1892
2013016,20.9637,11.4943,7.2627,93.7074,90.3845,90.4944
4070106,16.3844,15.1199,9.6647,90.094,90.479,104.5242
8102844,15.4159,12.8292,4.6224,90.6233,89.6804,88.6239
2229125,14.542,12.9254,7.6526,91.0757,89.705,108.5212
2001216,16.7436,9.8215,5.1037,89.6456,85.8716,88.4055
2201043,10.5518,9.4871,8.3823,97.7846,99.417,96.3071
2104247,8.3935,7.1226,6.4689,96.0434,94.6629,93.0714
4103144,16.681,9.0564,4.8904,89.0268,85.3267,88.0465
2000932,14.7678,8.9552,7.9284,90.4523,92.4956,91.4921
1520443,15.8902,11.0022,7.2216,93.2925,91.9889,91.1609
2200511,15.5736,10.4216,7.5843,93.2448,93.2528,90.8415
2234668,22.614,10.9307,5.4403,93.9639,85.3887,92.4308
4502412,19.7056,9.7143,4.6913,91.713,83.1486,90.5146
2200527,11.108,9.6618,6.845,92.1588,92.477,91.4727
4318129,18.0378,15.0965,12.8337,90.4557,92.6069,92.1833
2006611,16.2852,14.6327,13.5955,91.0301,92.6777,93.3603
7115413,12.3427,8.3883,7.541,93.0359,93.3559,89.7362
2210120,11.5479,10.3455,8.0342,96.4795,97.0536,103.8151
4110237,12.2691,10.722,7.469,91.4295,90.8991,103.0938
1514399,19.2957,11.3796,5.9012,91.2405,88.9719,89.8843
1503768,22.2442,11.4313,4.4563,90.7107,77.9169,92.2853
4025526,17.6046,15.3976,9.9337,92.9777,93.2327,92.4111
2004440,13.3131,9.9232,7.2972,92.872,92.5686,90.7718
8101836,20.0156,11.3965,6.4853,93.1106,87.5216,90.918
4023620,14.8274,8.6864,7.6022,92.7215,92.7627,89.7175
4343985,18.7029,14.9579,6.7056,92.1952,89.4287,89.6568
2016714,14.4496,11.6422,6.5614,94.8475,95.2774,89.4645
2237640,10.2117,9.0695,8.3394,101.2668,104.4637,101.4516
2011630,11.8577,7.0819,4.6671,95.8463,94.3039,90.6839
4029893,13.4356,11.9206,7.308,90.7497,90.6026,103.6649
2234086,15.3985,12.7503,7.7669,90.852,89.6265,111.1773
1101102,10.4373,8.4876,7.2331,94.2602,95.5642,94.4521
4076102,15.7605,13.946,12.3946,92.1385,92.4119,93.8698
4500611,19.8344,10.6073,8.0751,94.4288,92.4187,90.9902
1520657,14.0077,10.4124,5.7188,91.3012,91.6316,92.5766
2211842,20.1156,13.7958,7.9586,91.933,92.6672,93.9074
2227727,18.0804,14.8105,5.8815,96.3178,88.8414,91.6424
2020211,16.6122,12.6329,6.1869,95.0916,91.9738,89.1778
4327265,20.4189,18.7478,9.2067,91.2857,92.2789,91.2829
7106429,16.6984,11.4373,4.032,90.4742,82.1287,88.3848
1508859,11.0881,8.4328,7.1451,93.5967,93.3206,92.593
4335392,16.8108,9.7222,8.5879,92.5452,93.3538,90.5483
2000530,18.5484,13.1351,11.9391,89.9835,92.5455,90.8244
4029877,10.3876,10.1482,9.6757,105.9914,103.2306,98.0527
2220619,23.121,7.2631,6.0409,92.7229,86.8272,84.9331
1502500,24.6029,10.5561,6.9808,95.296,88.2077,90.9164
2235173,14.0888,8.4346,6.8496,92.2229,92.5255,90.641
4501973,10.1501,9.0731,8.1995,96.0719,97.7087,94.7948
1504534,11.1335,9.3482,8.8395,100.3188,100.6097,96.6774
7215763,14.7744,13.3142,4.8183,82.2733,85.1059,93.8635
2008436,16.3352,7.9807,7.2507,92.7511,90.5592,86.4925
4510211,13.6909,12.5596,7.3824,93.6136,89.9238,92.2068
4068627,16.1858,10.1191,8.7182,93.4007,93.1134,91.1264
4076185,26.4791,11.4635,6.6968,91.8801,89.0096,88.1261
2208481,13.8414,11.0427,5.1133,89.6705,89.8262,88.8285
2011186,10.6289,9.1552,6.183,93.7433,95.0382,91.366
7214507,12.2146,8.1033,5.9503,96.7997,95.2332,91.3075
2102305,11.8012,9.017,5.4414,94.0623,94.2044,94.177
4029898,9.0668,7.0009,5.4843,95.311,97.0232,93.3074
4023714,12.0049,12.4036,9.5696,103.5213,100.619,115.7836
2010193,12.731,9.509,7.4751,93.0311,92.2544,90.9827
4029682,16.1191,10.2543,6.8998,92.5278,91.4855,90.1332
4328628,19.0762,18.1775,13.1658,95.0407,93.1426,89.4922
2218618,16.2376,9.3186,8.1878,92.5734,92.4755,90.4461
2007300,9.2991,6.3485,4.6617,98.0244,99.3721,92.3123
4066707,13.3679,10.8951,9.4153,95.5062,97.8885,99.3879
2216193,12.4931,11.985,7.324,91.7012,88.5722,90.7389
7101370,20.201,7.3843,5.833,95.7768,89.9358,87.4813
2019871,14.1029,11.1852,6.7787,94.6557,91.4091,94.1358
2227426,12.9484,11.7046,11.1656,96.1892,93.6509,90.2272
2018239,18.4091,9.3277,6.4679,93.7521,91.3878,90.1805
4024007,13.1545,10.1074,6.6648,92.4691,91.6199,96.0109
4074085,14.1548,10.0922,6.2385,92.9977,93.4777,90.8861
4501921,9.1329,6.9652,6.081,94.9598,95.7885,93.2078
4116874,16.0682,8.3914,7.5653,92.2881,90.7756,88.8163
4323246,18.2429,11.7454,11.3069,90.9419,93.4549,90.5781
7207208,19.2633,18.7149,10.3922,93.8317,92.4282,89.6096
4024647,22.0783,11.7517,10.7589,91.8854,94.5827,90.8784
7219103,9.0225,7.7824,6.66,94.2249,95.1807,91.9061
2106679,13.1152,10.2467,8.0523,93.008,93.8137,90.5071
2231273,23.8704,9.0433,4.7777,91.698,86.8599,88.3313
2009571,7.2426,6.2534,5.3413,95.0974,93.3301,94.3192
4117051,14.2886,12.596,11.4799,90.358,91.7431,89.9544
4027420,14.5917,10.9332,6.7534,93.2973,91.9741,92.2669
2200748,12.1738,11.6227,7.3766,93.0532,89.2426,90.8521
7152214,11.4822,9.7437,8.8488,91.8233,92.4878,91.6125
2015953,24.2198,14.2175,8.9258,94.2368,89.9415,91.0909
4063292,17.3586,16.135,8.5005,92.687,92.5396,90.6841
2241126,14.4608,10.6148,6.3587,92.5334,90.84,90.5303
4031973,17.5409,12.7634,9.1374,93.9391,95.5792,91.4128
2000384,10.9676,9.7096,7.8958,100.1018,101.8812,101.4002
4122584,16.6935,9.8822,8.5641,93.1621,92.0909,89.2573
2013979,17.9806,13.0322,6.9917,92.4461,92.2601,102.7981
4022790,13.0717,9.9336,7.3798,92.9634,92.5355,90.8621
7154609,23.6054,8.0044,6.5642,94.6093,86.9256,85.6031
7150078,18.9838,11.5854,4.9926,94.2943,90.1142,89.8985
2202105,11.9948,8.8351,5.3266,94.6672,95.4337,92.4209
2009592,18.7474,8.8165,4.6123,88.5158,80.3284,89.2617
2000561,13.7846,10.5073,5.9606,92.0156,90.6682,92.5549
2011629,10.8937,10.5181,9.7392,103.8231,102.4389,101.518
2203530,14.2673,8.3631,6.7387,95.0494,94.6533,88.2467
4085249,15.1258,9.8278,8.1076,96.6581,91.2435,89.4807
4024574,16.0218,8.42,5.6004,92.7759,91.5721,87.3573
2219797,24.7395,13.4491,7.3792,93.7549,88.8812,90.9353
7223236,8.0005,6.1765,5.1204,96.2803,97.1801,94.368
4311125,15.2562,12.3467,7.4961,94.4938,91.9282,90.3415
2001884,14.4104,8.8453,6.9303,91.6684,92.9203,89.3533
7151861,10.3265,8.8552,7.511,91.3174,92.485,90.9442
2228309,10.5224,9.0617,7.9175,91.7818,93.093,90.1505
1513378,23.5047,10.9102,5.711,93.6088,82.3786,93.8269
4023040,14.9416,9.5987,8.013,92.0376,92.4465,91.8027
7154350,10.2055,8.7884,6.6427,94.3979,94.5346,95.0446
4021973,29.0114,17.2769,8.5489,92.2244,82.4303,92.7605
4076100,17.8971,9.6252,8.3418,92.003,93.2921,89.9446
2006339,12.9612,7.6476,4.8402,91.8967,91.3417,90.1934
2019334,10.8251,9.1251,4.5969,93.6413,96.6774,90.8462
2006339,12.8626,7.5701,4.8926,91.8069,91.2581,89.8921
1504155,17.9462,9.5216,6.8486,91.5672,90.4628,91.215
4118410,15.4301,9.7068,8.2307,92.7074,93.1302,91.8027
4507484,13.0054,11.4931,6.9036,93.0023,91.1127,101.9214
2237504,11.3623,10.0153,9.1164,104.0608,103.8129,100.0398
4072441,12.6421,10.2686,10.0591,101.9406,105.1921,100.4399
2217065,16.5864,7.2478,6.3764,91.6142,91.5653,86.2066
2008134,16.9281,7.731,6.492,93.3107,91.0426,86.901
7151687,12.2705,9.216,7.8858,93.3211,93.797,91.8067
1506229,20.306,11.0141,5.6646,92.2409,87.2647,90.4784
4068880,10.6374,10.5599,9.7709,102.3418,101.6536,103.9849
4026251,20.3905,16.7204,8.9443,91.4322,90.5512,93.0354
4067006,14.9018,10.245,8.6576,97.7783,93.7159,90.308
2016752,11.9334,10.4856,9.2169,91.8557,90.9037,90.1252
1100334,15.6915,11.9183,6.0034,91.4443,90.0497,90.8476
4031110,15.3269,12.5664,6.9847,95.3478,92.036,91.236
2235926,21.3844,11.177,6.9869,95.5002,92.6345,90.5804
1506353,12.0501,9.7628,8.5212,98.4968,98.8091,97.0457
4024969,11.0708,9.7023,7.2537,94.118,93.9279,96.881
4101361,19.1817,7.7918,6.1509,94.6549,90.9343,88.4907
4080422,18.8658,15.2921,6.5165,93.9121,88.9661,89.8642
1503185,15.7416,11.0022,5.5029,91.4156,90.6113,90.895
2230631,14.5362,9.9236,8.9934,92.7629,92.286,92.3409
1508815,16.9079,9.4914,5.3554,91.0151,89.1795,88.1819
4070280,11.5575,11.8418,11.0581,107.0029,104.2441,104.8519
7153433,22.0356,7.6163,6.1677,95.7673,86.9924,84.4399
4020253,12.3684,11.4497,7.1344,91.7021,89.0454,90.8752
7106433,16.7146,11.4057,4.0056,90.1517,81.452,88.3274
2103890,12.7184,9.0762,5.4596,93.1361,93.6035,91.5611
2218417,10.6119,9.3109,4.8275,92.9218,92.648,91.9738
4117942,18.955,17.0228,9.2753,91.6404,91.6499,92.1043
1507994,14.427,10.0596,8.932,92.7481,93.9758,94.2199
8100040,14.8491,11.6335,8.0226,95.6851,93.3742,91.6361
2206965,17.3243,11.0157,9.49,92.1233,93.7313,94.1305
4320583,18.7446,13.9091,11.585,91.0983,92.5461,91.3377
1503415,18.7681,17.9347,9.4271,90.0343,89.9338,119.7766
2236807,12.3013,9.4252,8.3291,92.9248,93.1265,92.7597
2215565,20.6144,13.0982,7.636,91.5732,91.4006,92.1876
4025680,16.8375,9.7777,5.438,89.1929,83.4663,87.6351
7108131,13.2154,8.8992,7.0376,93.2004,93.3089,91.1997
2101264,14.0656,10.9617,5.3828,90.2454,89.9099,91.5226
4079557,10.7795,10.0364,9.3848,91.6308,91.6114,95.3713
2003916,12.6645,7.6659,6.9803,92.0334,92.1122,88.0884
4330867,13.2796,12.028,7.7028,93.0868,89.3638,92.2437
2205973,18.5242,9.4081,5.1748,90.1004,82.9651,87.1586
1502257,11.0069,7.9411,6.751,94.081,94.4478,92.299
2205833,17.6461,9.6972,5.9733,92.0693,87.9444,88.5615
2207729,10.1832,7.6706,7.034,93.6515,95.0193,92.887
4122878,11.0361,9.9932,6.8595,94.4017,96.3899,101.7446
1503137,12.2213,10.6587,8.5984,91.8379,91.9584,91.2637
1541800,13.6113,8.4861,7.3421,95.5189,95.4664,89.8394
4082858,13.5261,12.4181,8.5955,91.2559,90.7106,94.5676
1504872,14.3073,11.4539,6.7372,94.3167,92.0288,93.559
1513406,24.0826,9.3184,4.9793,92.3903,85.195,87.8817
4077196,16.8603,15.0051,7.9352,93.6717,92.4185,90.3869
8101240,10.0653,10.3533,9.4638,107.3771,103.035,99.1239
2241460,18.2687,9.9891,4.834,90.3957,81.9392,87.6112
2233863,19.462,13.3321,5.6221,93.3312,87.3202,90.0621
4023913,18.5241,11.4291,4.3525,91.1643,83.941,89.7208
1504291,13.5534,8.9274,7.899,93.6969,93.1653,91.2054
2001864,14.89,13.646,7.4804,95.7876,93.8976,88.5873
4025572,10.0199,9.5719,8.6998,96.0709,97.1892,94.0416
1517179,18.977,7.7418,6.6443,94.0558,91.1305,88.1713
2221827,14.9709,12.5513,4.8954,93.8625,91.6141,88.7175
4123301,10.2391,9.5234,8.7082,92.2991,93.4541,92.4461
1506804,19.477,10.2595,9.6502,92.3818,92.6012,89.5411
1502652,10.72,10.0402,9.1705,98.853,100.2735,100.4449
4114902,10.2031,9.011,5.5991,97.0892,95.4676,93.8227
1501694,7.9694,5.8654,4.642,96.7787,97.4535,94.9272
4086408,24.6512,13.6988,8.3975,94.204,90.2345,93.0354
7024518,16.6999,15.8984,8.4855,89.4674,89.0829,117.4297
4070678,14.9227,10.6379,6.9738,93.9249,92.6596,90.64
4506405,14.2506,9.7403,4.0648,80.208,80.2092,86.3099
4103921,21.0055,11.5539,10.4499,91.2283,93.2679,91.2609
2236720,13.3923,9.6788,7.4555,94.2775,93.7013,91.7879
1529367,19.3435,17.8961,9.5112,91.8719,92.5213,91.5162
4020625,12.0133,8.4668,6.2094,95.7689,94.8609,92.5499
2213398,16.4234,9.7069,8.4199,95.4611,92.133,90.5468
2015998,10.906,8.9423,7.1538,92.4779,92.6977,91.8164
4024330,19.5033,10.3246,6.6224,94.0835,90.2573,90.3802
4074004,11.2499,9.1258,8.5173,100.0704,99.837,97.3428
2010626,18.2843,7.558,6.2286,94.6428,93.9488,91.6644
2224728,20.715,7.3997,4.4396,99.1269,89.6671,91.5023
2240794,13.8591,12.7811,4.2191,71.6607,77.4943,84.3579
2216777,13.8546,9.6655,7.5581,93.1231,92.4461,91.5969
1100207,11.0684,10.0527,7.4656,97.133,99.1268,103.1592
4306465,24.5576,13.6661,12.8039,92.1801,92.2021,90.1906
4301464,22.9581,15.1419,10.4679,93.017,92.5193,93.1159
2221673,10.3762,9.8626,9.2545,104.8164,104.1992,98.4559
4509150,19.3352,7.5123,6.02,94.9394,91.0255,87.9842
2207717,16.4497,9.1941,5.6221,90.3505,89.0754,88.6368
1540594,20.0942,14.0861,11.6377,92.4313,94.082,92.1932
4333803,12.9296,11.3446,5.7491,90.035,88.5584,91.6958
4324970,11.7713,10.1254,7.9269,92.8683,92.9659,89.6804
2016858,17.4342,12.7657,6.6451,91.9651,88.4287,89.2925
4330160,15.6147,9.5491,7.2747,92.4436,93.3303,91.2706
1506052,13.4332,11.193,5.8458,91.0758,89.9247,91.7721
2201671,20.6179,11.4663,5.4105,91.7027,84.2206,90.2521
2017474,24.0039,10.8721,7.4846,93.7565,89.58,89.537
2220557,18.0501,5.6304,5.0417,93.0537,91.186,78.5285
7210012,22.148,10.2831,7.4111,95.3164,90.1093,89.5105
4119225,14.3427,11.3837,7.6327,95.8589,94.0237,91.86
2207717,16.4863,9.1927,5.5999,90.1445,88.8118,88.4313
7053501,15.367,10.7013,5.9936,93.2834,91.0799,91.8888
2218031,18.6816,10.9853,7.7344,91.1415,91.2964,90.1542
4025681,12.5616,9.7722,6.7848,94.0984,92.5179,91.7284
4023637,13.4024,10.682,6.1398,90.8097,89.1472,93.4339
4065492,16.5621,13.6619,7.7436,92.3597,90.902,92.3335
4507646,14.3878,11.0339,9.6076,92.3326,93.7837,92.6835
4325032,16.0369,11.7423,6.157,91.809,90.8157,91.1655
2012474,11.3811,10.6563,10.0176,90.1551,90.3074,91.8775
4064424,19.1163,15.3341,8.3103,93.104,92.617,91.7861
4024874,11.1883,10.0223,7.5898,96.1241,95.4302,98.8513
1529242,16.2245,14.8578,4.1091,88.9186,86.4382,89.3586
4100970,18.674,16.7217,9.5252,91.3812,92.4486,92.7767
4102419,19.2534,10.5148,7.6696,97.1394,92.4294,91.3271
1502865,12.1806,9.3889,8.7757,93.5667,94.8078,93.342
4021105,19.3573,14.4212,8.408,93.2129,92.8635,94.6217
2016549,10.3167,9.6597,8.8915,99.4444,99.2411,96.6352
2227385,13.0567,9.7806,5.092,90.397,91.0416,90.4033
7039954,9.2699,7.6904,7.1016,95.2758,97.032,95.9195
1503388,16.5331,15.6359,6.0583,94.2183,92.8039,88.6384
2228748,17.8741,12.7183,5.0716,97.2906,92.607,90.1748
2218417,10.6749,9.3083,4.8324,92.9011,92.503,92.0927
4321712,14.4182,10.0701,7.3134,94.1752,95.7631,92.7858
4101750,13.9893,13.337,12.3591,107.2586,103.9688,97.9212
4027962,21.6526,7.7896,5.8085,93.6458,87.1448,85.6635
7221751,13.3498,8.153,5.6101,92.6808,92.7138,89.104
2006870,16.1032,9.5558,6.0168,90.8573,90.115,89.5666
7224889,18.0545,7.6401,6.1038,95.3044,90.9333,87.2
4119494,20.0362,9.7941,5.2494,92.7532,86.3833,91.3105
4333819,10.898,10.3799,9.4402,97.7593,99.7324,103.6272
4101607,8.7129,7.1125,5.6504,94.4539,94.6382,93.0845
7213093,19.0175,17.5794,9.4354,91.3021,92.2075,91.7347
7111221,22.7755,7.5942,4.8712,96.8137,87.83,87.0852
4072654,17.2947,12.2193,10.2496,91.6925,93.5404,92.4162
2100871,18.5831,14.3854,7.6242,93.9991,92.8179,90.3064
7151708,12.6284,7.8684,5.7632,93.6792,92.195,91.8141
2207187,25.3328,13.5507,4.8255,85.8266,67.7159,88.6327
7150257,19.4917,10.4803,6.0553,92.0746,88.39,89.5794
2230636,25.5916,13.622,6.6836,92.5797,86.8218,90.3938
4507054,14.3176,10.4391,6.6219,92.8763,91.9326,91.0447
2016957,11.4362,7.7908,6.7784,93.7377,93.499,91.8219
2234095,14.1694,13.0164,8.1405,92.7113,91.8108,94.2984
1506107,9.8996,9.077,8.6304,102.8134,103.5452,100.1131
2217240,12.1754,8.5019,5.7957,94.519,94.4562,92.2485
7219101,9.1927,7.9114,6.6676,93.9638,94.601,91.9227
2217721,19.4886,15.7964,4.8994,93.4653,88.4519,89.9176
1506052,13.4562,11.1751,5.9523,91.6082,90.209,91.8878
4077654,16.7135,12.9529,9.5183,90.7856,90.4708,106.5796
2101376,18.7538,10.581,9.0602,91.4412,93.1283,89.4121
2238682,11.742,11.5359,9.5112,103.1057,101.2174,109.6459
2241559,12.0535,7.8502,6.094,93.4417,92.737,90.7094
7102655,8.6731,7.579,7.1935,99.4957,100.9134,103.0605
4501660,11.5422,9.385,8.0131,96.8306,98.835,97.2907
1543109,14.3467,8.9058,7.7471,92.9381,92.9257,89.6488
